smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Cc1ccc(OCCN(C)C(=O)N2CCOCC2)cc1C,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),O,C,C,N,(,C,),C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,
Cc1noc(C(C)NC(=O)c2cc(-c3csc(C)n3)cn2C)n1,<bos>,C,<3>,c1cscn1,<0>,<0>,c1cc[nH]c1,<2>,<3>,(,C,),C=O,N,C,(,C,),<2>,c1ncon1,<0>,C,<eos>,,,,,,,,,,,,,
Cc1cccc(Cn2nnnc2CNC(=O)OC(C)(C)C)c1,<bos>,C,C,(,C,),(,C,),O,C=O,N,C,<0>,c1nnn[nH]1,<4>,C,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,
c1ccc(-c2c[nH]c3c(SCc4cccnc4)ncnc23)cc1,<bos>,c1ccccc1,<0>,<6>,c1ncc2[nH]ccc2n1,<2>,S,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)NCc1ccccc1)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,C,),N,C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
COC(=O)c1cc(CNC(=O)Nc2ccccc2)oc1C,<bos>,C,O,C=O,<1>,c1ccoc1,<4>,<2>,(,C,),C,N,C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
CC(C)CC(NC(=O)NC1C=CC(CCO)C1)c1cccs1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,N,<4>,C1=CCCC1,<2>,C,C,O,<eos>,,,,,,,,,,,,,,
CC(C)CC(NC(=O)c1cnc2sccn2c1=O)c1cccs1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,<2>,O=c1ccnc2sccn12,<eos>,,,,,,,,,,,,,,,,,,,
CC1CCCC(Cn2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2=O)C1,<bos>,C,<0>,C1CCCCC1,<4>,C,<6>,O=c1cccc[nH]1,<4>,C=O,<3>,C1CCNCC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)N(Cc1ccccc1Cl)C(C)C,<bos>,Cl,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,
CCOC(=O)CC1CCN(C(=O)Cc2ccc3c(c2)CCO3)CC1,<bos>,C,C,O,C=O,C,<0>,C1CCNCC1,<3>,C=O,C,<0>,c1ccc2c(c1)CCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCn1cc(C(=O)NCc2ccnc(OC3CC3)c2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,N,C,<0>,c1ccncc1,<4>,O,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,
