smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CCN(C(=O)COc1cccc(Cl)c1)c1cccc(C#N)c1,<bos>,C,C,N,(,<0>,c1ccccc1,<4>,C#N,),C=O,C,O,<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,,,,
Cc1ccccc1NC(=O)Cn1nc(C)c2ccccc2c1=O,<bos>,C,<4>,O=c1[nH]ncc2ccccc12,<2>,C,C=O,N,<5>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(c1cccnc1)N(CCc1ccc(F)cc1)C1CC1,<bos>,c1ccncc1,<1>,O=[SH2]=O,N,(,<0>,C1CC1,),C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,
c1cncc(OC2CN(C3CCOCC3)C3CCCOC23)c1,<bos>,C1CCOCC1,<0>,<6>,C1COC2CCNC2C1,<4>,O,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C1CCCCN1S(=O)(=O)N(C)C,<bos>,C,N,(,C,),O=[SH2]=O,<3>,C1CCNCC1,<2>,C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)cc1,<bos>,C,<0>,c1ccccc1,<3>,C=O,N,<0>,c1ccccc1,<4>,C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCN(C)C(=O)c1cccc(OCC(F)F)n1,<bos>,F,C,(,F,),C,O,<4>,c1ccncc1,<2>,C=O,N,(,C,),C,C,C,<eos>,,,,,,,,,,,,,,,
CC(C)COC1CCN(C(=O)C(C)OCC2CC2)CC1,<bos>,C,C,(,C,),C,O,<0>,C1CCNCC1,<3>,C=O,C,(,C,),O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
O=C(NC1CCCC1)C1COC(=O)N1Cc1ccco1,<bos>,C1CCCC1,<0>,N,C=O,<3>,O=C1NCCO1,<2>,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ccc(OS(=O)(=O)c2c(F)cccc2F)cc1,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),O=[SH2]=O,O,<3>,c1ccccc1,<0>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(COc1ccc(OCC(F)(F)F)nc1)N1CCOCC1,<bos>,F,C,(,F,),(,F,),C,O,<4>,c1ccncc1,<1>,O,C,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,
CNC(=O)CN(C(=O)c1ccncc1F)C(C)C,<bos>,F,<5>,c1ccncc1,<0>,C=O,N,(,C,(,C,),C,),C,C=O,N,C,<eos>,,,,,,,,,,,,,,,,
CCOC(=O)Cc1csc(NC(=O)NCc2ccncc2)n1,<bos>,C,C,O,C=O,C,<0>,c1cscn1,<3>,N,C=O,N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,
CSc1nncn1NC(=O)c1cnc(SC)n1C,<bos>,C,S,<3>,c1c[nH]cn1,<1>,<2>,(,C,),C=O,N,<4>,c1nnc[nH]1,<0>,S,C,<eos>,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)Cn2nc3c4ccccc4ncn3c2=O)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,C,<2>,O=c1[nH]nc2c3ccccc3ncn12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1nonc1C,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1cnon1,<1>,C,<eos>,,,,,,,,,,,,,,,,
Cc1ccc(N2CC(C(=O)NCc3ccco3)CC2=O)c(C)c1,<bos>,C,<0>,c1ccccc1,<3>,<4>,(,C,),<5>,O=C1CCCN1,<3>,C=O,N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)c2cccc(OCC(C)C)c2)n1,<bos>,C,C,(,C,),C,O,<4>,c1ccccc1,<0>,C=O,N,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,,,
c1cc(-c2n[nH]c(CNc3ccc4nc[nH]c4c3)n2)ccn1,<bos>,c1ccncc1,<0>,<0>,c1nc[nH]n1,<2>,C,N,<1>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CSc1ccccn1)NCCN1CCCC1=O,<bos>,O=C1CCCN1,<5>,C,C,N,C=O,C,S,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(N2CCCC3(CCN(c4nnc(C)s4)C3=O)C2)ncn1,<bos>,C,O,<1>,c1cncnc1,<5>,<9>,O=C1NCCC12CCCNC2,<2>,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc2cccnc12)C1CC(=O)N(Cc2ccco2)C1,<bos>,c1ccoc1,<4>,C,<5>,O=C1CCCN1,<3>,C=O,N,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCc1nc(=O)c(N2CCN(c3ccccc3F)CC2)n[nH]1,<bos>,F,<5>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,<2>,O=c1cn[nH]cn1,<5>,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(CSc1ccc2c(c1)OCCCO2)N1CCC(O)CC1,<bos>,O,<0>,C1CCNCC1,<3>,C=O,C,S,<0>,c1ccc2c(c1)OCCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCCNc2ncccc2C#N)cc1,<bos>,C,C,O,<0>,c1ccccc1,<3>,C=O,N,C,C,N,<2>,c1ccncc1,<1>,C#N,<eos>,,,,,,,,,,,,,,,,,,
CS(=O)(=O)NCCc1nc2ccccc2n1CCO,<bos>,C,O=[SH2]=O,N,C,C,<5>,c1ccc2[nH]cnc2c1,<4>,C,C,O,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)C(=O)C(C)NC(=O)c1n[nH]c(=O)c2ccccc12,<bos>,C,C,N,(,C,C,),C=O,C,(,C,),N,C=O,<4>,O=c1[nH]ncc2ccccc12,<eos>,,,,,,,,,,,,,,,,,
CCOCCN1CCN(C(=O)c2ccco2)C(C)C1,<bos>,c1ccoc1,<4>,C=O,<5>,C1CNCCN1,<2>,<0>,(,C,),C,C,O,C,C,<eos>,,,,,,,,,,,,,,,,,,
CCCc1nc(C)c2c(n1)N(CC(=O)NCC)C(=O)CC2,<bos>,C,C,C,<7>,O=C1CCc2cncnc2N1,<10>,<5>,(,C,),C,C=O,N,C,C,<eos>,,,,,,,,,,,,,,,,,,
COc1cc2nc(COc3cccc(C)c3)oc(=O)c2cc1OC,<bos>,C,O,<7>,O=c1ocnc2ccccc12,<3>,<8>,(,O,C,),C,O,<0>,c1ccccc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,
Cc1c(Br)c(C(F)(F)F)nn1CC(=O)NC1CC1,<bos>,F,C,(,F,),(,F,),<1>,c1cn[nH]c1,<3>,<4>,(,C,),<0>,(,Br,),C,C=O,N,<0>,C1CC1,<eos>,,,,,,,,,
CN(CCc1ccc(F)cc1)C(=O)c1cnn2ccn(C)c12,<bos>,C,<3>,c1cc2[nH]ccn2n1,<1>,C=O,N,(,C,),C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
CCC(=O)Nc1ccc(S(=O)(=O)C(F)(F)F)cc1,<bos>,F,C,(,F,),(,F,),O=[SH2]=O,<3>,c1ccccc1,<0>,N,C=O,C,C,<eos>,,,,,,,,,,,,,,,,,
O=C1NCCCCC1NC(=O)n1ccc(=O)c2sccc21,<bos>,O=c1cc[nH]c2ccsc12,<4>,C=O,N,<2>,O=C1CCCCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,C,),<4>,(,F,),N,O=[SH2]=O,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2c(c1)OCCO2)C1CCCN1C(=O)C1CC1,<bos>,C1CC1,<0>,C=O,<3>,C1CCNC1,<4>,C=O,N,<0>,c1ccc2c(c1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(F)cc(C(=O)Nc2nc(C)cs2)c1,<bos>,C,O,<0>,c1ccccc1,<4>,<2>,(,F,),C=O,N,<3>,c1cscn1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(CCCc1ccccc1)Nc1nc(-c2cccnc2)cs1,<bos>,c1ccccc1,<0>,C,C,C,C=O,N,<3>,c1cscn1,<0>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COCCNC(=O)N1CCCCCC1c1nccs1,<bos>,C,O,C,C,N,C=O,<4>,C1CCCNCC1,<5>,<3>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C=O,<7>,O=C1COc2ccccc2N1,<2>,<2>,(,C,),<11>,(,C,),C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,
,<bos>,C,C,(,C,),(,C,),N,C=O,<1>,c1cn[nH]c1,<4>,<3>,(,C,),<3>,(,C,),N,C=O,<0>,c1ccccc1,<3>,C,<eos>,,,,,,
CCOc1ccc(NCc2ccco2)cc1CO,<bos>,C,C,O,<3>,c1ccccc1,<0>,<4>,(,C,O,),N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCC(F)(F)F)c1csc(-c2ccco2)n1,<bos>,F,C,(,F,),(,F,),C,N,C=O,<0>,c1cscn1,<3>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,
O=C(CNc1ccc(Br)cc1)NCCO,<bos>,O,C,C,N,C=O,C,N,<0>,c1ccccc1,<3>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cn1c(C(=O)OCCOCC2CC2)cc2ccccc21,<bos>,C,<4>,c1ccc2[nH]ccc2c1,<5>,C=O,O,C,C,O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,
COCCNS(=O)(=O)c1c(N)n(C)c(=O)n(C)c1=O,<bos>,C,<4>,O=c1cc[nH]c(=O)[nH]1,<2>,<7>,(,C,),<3>,(,N,),O=[SH2]=O,N,C,C,O,C,<eos>,,,,,,,,,,,,,,,
COCCOc1ncccc1NC(=O)c1ccco1,<bos>,C,O,C,C,O,<2>,c1ccncc1,<1>,N,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCN(C)S(=O)(=O)c1cccc(C(C)=O)c1,<bos>,C,C,C,C,N,(,C,),O=[SH2]=O,<0>,c1ccccc1,<4>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ncc(Cl)c(NCc2cc(=O)n3nccc3[nH]2)n1,<bos>,C,<3>,c1cncnc1,<5>,<0>,(,Cl,),N,C,<3>,O=c1cc[nH]c2ccnn12,<eos>,,,,,,,,,,,,,,,,,,,,,
OC(C#Cc1ccc(Cl)cc1)(C1CC1)C1CCCO1,<bos>,O,C,(,<0>,C1CC1,),(,<4>,C1CCOC1,),<0>,C#C,<1>,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,
COc1ccccc1C(C#N)NCc1nc2cc(F)ccc2o1,<bos>,C,O,<0>,c1ccccc1,<5>,C,(,C#N,),N,C,<5>,c1ccc2ocnc2c1,<0>,F,<eos>,,,,,,,,,,,,,,,,,,
CCCOc1ccc(-c2noc(N)c2C2CC2)cc1,<bos>,N,<4>,c1cnoc1,<1>,<0>,(,<0>,C1CC1,),<3>,c1ccccc1,<0>,O,C,C,C,<eos>,,,,,,,,,,,,,,,,,
Cc1ccc2cc3c(nc2c1)OCC(=O)N(Cc1cccc(C#N)c1)C3,<bos>,C,<8>,O=C1COc2nc3ccccc3cc2CN1,<15>,C,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc(CNc2cc(S(=O)(=O)NC(C)C)ccc2F)no1,<bos>,C,C,(,C,),N,O=[SH2]=O,<0>,c1ccccc1,<4>,<3>,(,F,),N,C,<0>,c1ncon1,<2>,C,<eos>,,,,,,,,,,,,,
COC(=O)CCNC(=O)Nc1ccc(-c2nccs2)cc1,<bos>,C,O,C=O,C,C,N,C=O,N,<0>,c1ccccc1,<3>,<3>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,
CCN(CC)S(=O)(=O)c1ccc2c(c1)C(C)(C)C(=O)N2C,<bos>,C,<2>,O=C1Cc2ccccc2N1,<5>,<2>,(,C,),<9>,(,C,),O=[SH2]=O,N,(,C,C,),C,C,<eos>,,,,,,,,,,,,,
O=C(CC1CCCCC1)Nc1cccc(-c2n[nH]c(CCO)n2)c1,<bos>,C1CCCCC1,<0>,C,C=O,N,<0>,c1ccccc1,<4>,<0>,c1nc[nH]n1,<2>,C,C,O,<eos>,,,,,,,,,,,,,,,,,,,
N#Cc1cc(NCC2CCCO2)ccc1OC(F)(F)F,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,<4>,(,C#N,),N,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,
N#Cc1cc(N)c(OCc2ccccc2)c(Cl)c1,<bos>,c1ccccc1,<0>,C,O,<3>,c1ccccc1,<0>,<2>,(,N,),<4>,(,Cl,),C#N,<eos>,,,,,,,,,,,,,,,,,
COC(C)C(=O)N(Cc1ccccc1)c1cccc2ccccc12,<bos>,C,O,C,(,C,),C=O,N,(,<2>,c1ccc2ccccc2c1,),C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
Nc1cc(NS(=O)(=O)c2ccccc2)ccc1Cl,<bos>,N,<4>,c1ccccc1,<0>,<3>,(,Cl,),N,O=[SH2]=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CNC(=O)NCCOC(=O)c1ccccc1OC,<bos>,C,N,C=O,N,C,C,O,C=O,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1[nH]ncc1S(=O)(=O)CCN1CCOCC1C1CC1,<bos>,C,<4>,c1cn[nH]c1,<0>,O=[SH2]=O,C,C,<5>,C1COCCN1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCCCC1C(=O)NCC1(c2ccc(F)cc2)CC1,<bos>,C,C=O,<3>,C1CCNCC1,<2>,C=O,N,C,<0>,C1CC1,<0>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
Cc1noc(C)c1C(C)C(=O)Nc1cccc(Oc2cnccn2)c1,<bos>,C,<1>,c1cnoc1,<0>,<4>,(,C,),C,(,C,),C=O,N,<0>,c1ccccc1,<4>,O,<0>,c1cnccn1,<eos>,,,,,,,,,,,,,
CCCc1cc(C(=O)NCCc2c[nH]c3ccc(C)cc23)n(C)n1,<bos>,C,C,C,<1>,c1cn[nH]c1,<4>,<3>,(,C,),C=O,N,C,C,<6>,c1ccc2[nH]ccc2c1,<0>,C,<eos>,,,,,,,,,,,,,,,
Cc1cc(COC(=O)c2[nH]c(C)c(C(=O)N(C)C)c2C)no1,<bos>,C,N,(,C,),C=O,<0>,c1cc[nH]c1,<2>,<4>,(,C,),<1>,(,C,),C=O,O,C,<1>,c1cnoc1,<4>,C,<eos>,,,,,,,,,
CCc1n[nH]c(SCc2cc(=O)n3ncc(Cl)c3[nH]2)n1,<bos>,C,C,<0>,c1nc[nH]n1,<2>,S,C,<3>,O=c1cc[nH]c2ccnn12,<6>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCn1c(SCC(=O)Nc2cccc(C)n2)nnc1-c1ccccn1,<bos>,C,C,<4>,c1nnc[nH]1,<0>,<3>,(,<2>,c1ccncc1,),S,C,C=O,N,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,
CC(=O)NC(C(=O)NCc1ccc(F)cc1N(C)C)C1CCCC1,<bos>,C,N,(,C,),<4>,c1ccccc1,<3>,<0>,(,F,),C,N,C=O,C,(,<0>,C1CCCC1,),N,C=O,C,<eos>,,,,,,,,,,
Cc1c(CNC(=O)CCOC(C)C)oc2ccc(F)cc12,<bos>,C,C,(,C,),O,C,C,C=O,N,C,<5>,c1ccc2occc2c1,<6>,<0>,(,F,),C,<eos>,,,,,,,,,,,,,,
Cc1cc(C)cc(OCC(=O)Oc2ccccc2C#N)c1,<bos>,C,<2>,c1ccccc1,<0>,<4>,(,C,),O,C,C=O,O,<5>,c1ccccc1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,
O=C(CCC(=O)N1CCC(CO)C(O)C1)c1ccccc1Cl,<bos>,O,C,<0>,C1CCNCC1,<3>,<1>,(,O,),C=O,C,C,C=O,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,
CC(NC(=O)C1(C)CC1(Cl)Cl)c1ccc(F)c(F)c1,<bos>,C,<0>,C1CC1,<0>,<2>,(,Cl,),<2>,(,Cl,),C=O,N,C,(,C,),<0>,c1ccccc1,<3>,<4>,(,F,),F,<eos>,,,,,,,
O=C(CCn1ccc2ccc(F)cc21)Nc1ccc(-n2cccn2)cc1,<bos>,F,<1>,c1ccc2[nH]ccc2c1,<4>,C,C,C=O,N,<0>,c1ccccc1,<3>,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(OC)c(C(=O)NCc2cc(=O)n3ccccc3n2)c1,<bos>,C,O,<0>,c1ccccc1,<4>,<3>,(,O,C,),C=O,N,C,<3>,O=c1ccnc2ccccn12,<eos>,,,,,,,,,,,,,,,,,,
