smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
O=C(Nc1nccs1)C1CCN(C(=O)c2cccnc2)CC1,<bos>,c1cscn1,<3>,N,C=O,<0>,C1CCNCC1,<3>,C=O,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cn1nnc2cc(C(=O)NC3CCN(c4ccccc4Cl)CC3)cnc21,<bos>,C,<4>,c1cnc2[nH]nnc2c1,<0>,C=O,N,<0>,C1CCNCC1,<3>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,
CC(CCCC(=O)N(C)C)NCc1ccsc1,<bos>,C,N,(,C,),C=O,C,C,C,C,(,C,),N,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCc2cc(-c3ccc(F)cc3)on2)nn1,<bos>,C,C,O,<5>,c1ccnnc1,<2>,C=O,N,C,<1>,c1cnoc1,<4>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,
CCCCS(=O)(=O)Nc1cc2c(cc1Cl)OCCO2,<bos>,C,C,C,C,O=[SH2]=O,N,<0>,c1ccc2c(c1)OCCO2,<1>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(NCC(O)c1ccc(F)cc1Cl)NC1CCCC1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,O,),C,N,C=O,N,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,
Cc1cc(C(=O)NCC(=O)N(C(C)C)C(C)C)oc1C,<bos>,C,C,(,C,),N,(,C,(,C,),C,),C=O,C,N,C=O,<4>,c1ccoc1,<2>,<1>,(,C,),C,<eos>,,,,,,
CC(C)CC(C)(NC(=O)c1ccc(CN2CCOCC2)o1)C(N)=O,<bos>,C,C,(,C,),C,C,(,C=O,N,),(,C,),N,C=O,<2>,c1ccoc1,<4>,C,<5>,C1COCCN1,<eos>,,,,,,,,,
Cc1cc(N2CCOC(C(=O)N3CCCN(C(N)=O)CC3)C2)ncn1,<bos>,N,C=O,<5>,C1CNCCNC1,<2>,C=O,<1>,C1COCCN1,<5>,<5>,c1cncnc1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,
CN(C)c1ncccc1C(=O)Nc1nc(C2CC2)cs1,<bos>,C,N,(,C,),<2>,c1ccncc1,<1>,C=O,N,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,
CCCOC(=O)C1CCCCN1C(=O)c1ccc(OCC#N)cc1,<bos>,C,C,C,O,C=O,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<3>,O,C,C#N,<eos>,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)Cc2csc3nccn23)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,<3>,c1cn2ccsc2n1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1oc(C2CCN(C(=O)CO)CC2)nc1C(C)C,<bos>,C,C,(,C,),<0>,c1cocn1,<3>,<1>,(,C,),<0>,C1CCNCC1,<3>,C=O,C,O,<eos>,,,,,,,,,,,,,
