smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
CCNc1cccc(C(=O)N2CCCC2Cn2cccn2)n1,<bos>,C,C,N,<2>,c1ccncc1,<4>,C=O,<3>,C1CCNC1,<4>,C,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1c(C(=O)N2CCCC2CO)cnn1-c1ccncc1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1ccncc1,),C=O,<3>,C1CCNC1,<4>,C,O,<eos>,,,,,,,,,,,,,,,,,,,
O=C(COc1cccnc1)NCCc1ccc2c(c1)OCO2,<bos>,c1ccncc1,<1>,O,C,C=O,N,C,C,<0>,c1ccc2c(c1)OCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
c1cncc(OC2CN(C3CCOCC3)C3CCCOC23)c1,<bos>,C1CCOCC1,<0>,<6>,C1COC2CCNC2C1,<4>,O,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCOC(=O)c1ccc(S(=O)(=O)N(C)C)cc1,<bos>,C,N,(,C,),O=[SH2]=O,<3>,c1ccccc1,<0>,C=O,O,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,
CC(C)COC1CCN(C(=O)C(C)Oc2ccccc2)CC1,<bos>,C,C,(,C,),C,O,<0>,C1CCNCC1,<3>,C=O,C,(,C,),O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
O=C(NC1CCCC1)C1COC(=O)N1Cc1ccco1,<bos>,C1CCCC1,<0>,N,C=O,<3>,O=C1NCCO1,<2>,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(=O)[nH]c(C2CCN(C(=O)Nc3c(F)cccc3F)CC2)n1,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),N,C=O,<3>,C1CCNCC1,<0>,<5>,O=c1ccnc[nH]1,<3>,C,<eos>,,,,,,,,,,,,,,,,,
FC(F)(F)COc1ccc(OCCN2CCOCC2)cn1,<bos>,F,C,(,F,),(,F,),C,O,<4>,c1ccncc1,<1>,O,C,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,
CNC(=O)CN(C(=O)c1ccncc1F)C(C)C,<bos>,F,<5>,c1ccncc1,<0>,C=O,N,(,C,(,C,),C,),C,C=O,N,C,<eos>,,,,,,,,,,,,,,,,,
CCOC(=O)Cc1csc(SCc2ccc(F)cc2)n1,<bos>,C,C,O,C=O,C,<0>,c1cscn1,<3>,S,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,
CSc1ncc(C(=O)Nc2cccc(-n3cnnn3)c2)n1C,<bos>,C,S,<3>,c1c[nH]cn1,<1>,<2>,(,C,),C=O,N,<0>,c1ccccc1,<4>,<4>,c1nnn[nH]1,<eos>,,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)Cn2nc3c4ccccc4ncn3c2=O)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,C,<2>,O=c1[nH]nc2c3ccccc3ncn12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)NC2CCc3c(O)cccc32)c(C)c1F,<bos>,C,<0>,c1ccccc1,<3>,<4>,(,C,),<5>,(,F,),C=O,N,<8>,c1ccc2c(c1)CCC2,<5>,O,<eos>,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)c2cccc(OCC(C)C)c2)n1,<bos>,C,C,(,C,),C,O,<4>,c1ccccc1,<0>,C=O,N,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(Nc1nc(-c2ccncc2)cs1)c1ccc2nc[nH]c2c1,<bos>,c1ccncc1,<0>,<0>,c1cscn1,<3>,N,C=O,<1>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CCCN1CCn1cnc2c(nnn2Cc2cccs2)c1=O,<bos>,O=C1CCCN1,<5>,C,C,<2>,O=c1[nH]cnc2[nH]nnc12,<6>,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccc(-c2ccccc2F)s1)N1CCC(O)CC1,<bos>,O,<0>,C1CCNCC1,<3>,C=O,C,C,<4>,c1ccsc1,<2>,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,
