smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
CCCn1nc(C)c2c1cnn2CC(=O)Nc1ccccc1OC,<bos>,C,C,C,<2>,c1n[nH]c2cn[nH]c12,<6>,<0>,(,C,),C,C=O,N,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,
Cn1nnc2cc(C(=O)NC3CCN(c4ccccc4Cl)CC3)cnc21,<bos>,C,<4>,c1cnc2[nH]nnc2c1,<0>,C=O,N,<0>,C1CCNCC1,<3>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,
CCn1cc(S(=O)(=O)NCCC(=O)N(C)C)cn1,<bos>,C,N,(,C,),C=O,C,C,N,O=[SH2]=O,<0>,c1cn[nH]c1,<3>,C,C,<eos>,,,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCCNC(=O)c2ccsc2)nn1,<bos>,C,C,O,<5>,c1ccnnc1,<2>,C=O,N,C,C,N,C=O,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NCC(=O)Nc1cccnc1,<bos>,C,C,C,C,O=[SH2]=O,N,C,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
CCN(Cc1ccc(F)cc1Cl)C(=O)CNC(N)=O,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,N,(,C,C,),C=O,C,N,C=O,N,<eos>,,,,,,,,,,,,
CCOC(=O)C1CCCN(C(=O)NC(C)C)C1,<bos>,C,C,(,C,),N,C=O,<3>,C1CCNCC1,<1>,C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,,
CC(C)CC(C)(NC(=O)Cc1ccccc1F)C(N)=O,<bos>,C,C,(,C,),C,C,(,C=O,N,),(,C,),N,C=O,C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,
NC(=O)N1CCCN(C(=O)C2CCCN(C(N)=O)C2)CC1,<bos>,N,C=O,<5>,C1CNCCNC1,<2>,C=O,<1>,C1CCNCC1,<3>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,
CN(C)S(=O)(=O)NCc1cccnc1-c1ccnn1C,<bos>,C,N,(,C,),O=[SH2]=O,N,C,<1>,c1ccncc1,<2>,<4>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,,,
