smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CCCn1nccc1NC(=O)CCCn1ncc2ccccc21,<bos>,C,C,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,C,<4>,c1ccc2[nH]ncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(C=Cc1ccccc1)Nc1nnc(-c2cccc(Cl)c2)o1,<bos>,Cl,<4>,c1ccccc1,<0>,<0>,c1nnco1,<3>,N,C=O,<0>,C=C,<1>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
Cn1cccc1CN1CCN(Cc2ccc(C(F)(F)F)cc2F)CC1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,F,),C,<5>,C1CNCCN1,<2>,C,<4>,c1cc[nH]c1,<3>,C,<eos>,,,,,,,,,
O=C(Cc1cccs1)Nc1cccc(OCCO)c1,<bos>,O,C,C,O,<4>,c1ccccc1,<0>,N,C=O,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)c1c(N)cc(C)n1C(=O)CCC(C)C,<bos>,C,C,(,C,),C,C,C=O,<3>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,N,),C=O,O,C,C,<eos>,,,,,,,,,,
CCc1nn(C)cc1CNC(=O)c1onc(C2CC2)c1N,<bos>,N,<0>,c1cnoc1,<4>,<1>,(,<0>,C1CC1,),C=O,N,C,<0>,c1cn[nH]c1,<1>,<3>,(,C,),C,C,<eos>,,,,,,,,,,,,
CN(CCCO)C(=O)NCc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,N,(,C,),C,C,C,O,<eos>,,,,,,,,,,,,,,
CCc1nnc(NC(=O)c2ccc(C(=O)NCC(C)C)cc2)s1,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,C=O,N,<3>,c1nncs1,<0>,C,C,<eos>,,,,,,,,,,,,,,,
O=C(c1nn(-c2cccc(Cl)c2)c2c1CCC2)N1CCOCC1,<bos>,Cl,<4>,c1ccccc1,<0>,<2>,c1n[nH]c2c1CCC2,<0>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)c2ccoc2C)n(C(C)C)n1,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<4>,<1>,(,C,),N,C=O,<0>,c1ccoc1,<4>,C,<eos>,,,,,,,,,,,,,,,
CCCCN(C)C(=O)c1ccc(S(=O)(=O)NC)cc1,<bos>,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,(,C,),C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,
CCc1n[nH]c(CC)c1C1CCCN1Cc1ccc(C)cn1,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,C,),<4>,C1CCNC1,<3>,C,<4>,c1ccncc1,<1>,C,<eos>,,,,,,,,,,,,,,,
COCC1(CNC(=O)Nc2sc3c(c2C(=O)OC)CCC3)CC1,<bos>,C,O,C=O,<1>,c1cc2c(s1)CCC2,<0>,N,C=O,N,C,<0>,C1CC1,<0>,C,O,C,<eos>,,,,,,,,,,,,,,,,,
CCn1cnnc1CNS(=O)(=O)c1cccc(Cl)c1C,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),O=[SH2]=O,N,C,<0>,c1nnc[nH]1,<4>,C,C,<eos>,,,,,,,,,,,,,,,,,
Cc1ccc(F)c(C(=O)N2CCN(C(=O)c3cccs3)CC2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,F,),C=O,<2>,C1CNCCN1,<5>,C=O,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,
CC(NC(=O)Cc1cccc(Cl)c1)c1ccc(-n2cncn2)cc1,<bos>,c1nc[nH]n1,<3>,<3>,c1ccccc1,<0>,C,(,C,),N,C=O,C,<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,,,,
Cc1ccc(F)cc1S(=O)(=O)N1CCC(n2cncn2)CC1,<bos>,C,<3>,c1ccccc1,<4>,<0>,(,F,),O=[SH2]=O,<3>,C1CCNCC1,<0>,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,
CCCCNS(=O)(=O)c1ccc(C(=O)N2CCCCCC2)cc1,<bos>,C,C,C,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,<4>,C1CCCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
COCC(C)CC(=O)N(C)CC(O)c1ccc(Cl)cc1,<bos>,C,O,C,C,(,C,),C,C=O,N,(,C,),C,C,(,O,),<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,
Cc1cccc(C(=O)NC2CC(C)(C)Cc3oc(C)cc32)n1,<bos>,C,<6>,c1cc2c(o1)CCCC2,<8>,<6>,(,C,),<0>,(,C,),N,C=O,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,
Cc1ccc(C)c(SCC(=O)N2CCCC(C(=O)N(C)C)C2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,C,),S,C,C=O,<3>,C1CCNCC1,<1>,C=O,N,(,C,),C,<eos>,,,,,,,,,,,,,
COc1ccc(Cn2nc(CO)cc2-c2ccccc2)cc1,<bos>,O,C,<1>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,),C,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,
CCc1c(C(=O)CCC(=O)Nc2ccccc2)[nH]c(C)c1C(C)=O,<bos>,C,C,<1>,c1cc[nH]c1,<2>,<0>,(,C=O,C,),<4>,(,C,),C=O,C,C,C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,
COCC(=O)Nc1ccc2c(c1)CCC(=O)N2C(C)C,<bos>,C,C,(,C,),<10>,O=C1CCc2ccccc2N1,<6>,N,C=O,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2cnn(C)c2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<0>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
