smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
CCCn1nccc1NC(=O)CCCOc1ccccc1C,<bos>,C,C,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,C,O,<0>,c1ccccc1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,
Clc1cccc(-c2nnc(-c3c[nH]c4ncccc34)o2)c1,<bos>,Cl,<4>,c1ccccc1,<0>,<0>,c1nnco1,<3>,<6>,c1cnc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Nc1cc(C(F)(F)F)ccc1Oc1ccccc1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,N,),O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
O=C(Cc1cccs1)Nc1cccc(OCCO)c1,<bos>,O,C,C,O,<4>,c1ccccc1,<0>,N,C=O,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OC)c(C(O)CNC(=O)CCC(C)C)c1,<bos>,C,C,(,C,),C,C,C=O,N,C,C,(,O,),<4>,c1ccccc1,<0>,<3>,(,O,C,),O,C,<eos>,,,,,,,,,,,
Nc1cnoc1C(=O)N1CC2CC3CC(C2)CC1C3,<bos>,N,<0>,c1cnoc1,<4>,C=O,<1>,C1NC2CC3CC1CC(C3)C2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1c(F)cccc1F)NCC1CCCCO1,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,N,C,<2>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)CNC(=O)c1ccc(C(=O)Nc2ccc(F)cc2F)cc1,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,C=O,N,<3>,c1ccccc1,<0>,<4>,(,F,),F,<eos>,,,,,,,,,,,,,,
O=C(c1nn(-c2cccc(Cl)c2)ccc1=O)N1CCOCC1,<bos>,Cl,<4>,c1ccccc1,<0>,<4>,O=c1cc[nH]nc1,<6>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1OS(=O)(=O)c1c(C)nn(C(C)C)c1C,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,O,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,,
CNS(=O)(=O)c1ccc(C(=O)N(C)CCOCC2CC2)cc1,<bos>,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,(,C,),C,C,O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,
CCc1nn(C)c(CC)c1CN(C)C(=O)c1ccc(Cl)cc1,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,C,),<3>,(,C,),C,N,(,C,),C=O,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,
COC(=O)c1c(NC(=O)NCC2(CO)CC2)sc2c1CCC2,<bos>,C,O,C=O,<1>,c1cc2c(s1)CCC2,<0>,N,C=O,N,C,<0>,C1CC1,<0>,C,O,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(CCn1nc(-c2ccccc2)ccc1=O)N1CCCc2ccccc21,<bos>,c1ccccc1,<0>,<4>,O=c1cccn[nH]1,<6>,C,C,C=O,<9>,c1ccc2c(c1)CCCN2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)CSc1nnnn1C1CC1,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),N,C=O,C,S,<0>,c1nnn[nH]1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,
