smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
CCCn1ccnc1CS(=O)(=O)c1ccc(OC)cc1,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,C,O=[SH2]=O,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
COCCCN(C(=O)c1ccc(F)c(F)c1F)C(C)C,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,F,),<5>,(,F,),C=O,N,(,C,(,C,),C,),C,C,C,O,C,<eos>,,,,,,
O=C(Cc1coc2cc(-c3ccccc3)ccc12)Nc1nccs1,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<1>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc2[nH]c(C(=O)NCc3cccnc3)cc(=O)c2c1,<bos>,C,C,O,<8>,O=c1cc[nH]c2ccccc12,<3>,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCN(C)C(=O)c1ccc(SCC)nc1,<bos>,C,C,C,C,N,(,C,),C=O,<1>,c1ccncc1,<4>,S,C,C,<eos>,,,,,,,,,,,,,,,,,
Cc1cc(C)c(C(=O)N(CCO)Cc2ccsc2)c(C)c1,<bos>,C,<0>,c1ccccc1,<3>,<2>,(,C,),<4>,(,C,),C=O,N,(,C,<0>,c1ccsc1,),C,C,O,<eos>,,,,,,,,,,
CC(C)CNC(=O)CCC(=O)N(C)CCOc1ccccc1,<bos>,C,C,(,C,),C,N,C=O,C,C,C=O,N,(,C,),C,C,O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,
CCS(=O)(=O)NCCCc1nc2c(s1)CCCC2,<bos>,C,C,O=[SH2]=O,N,C,C,C,<0>,c1nc2c(s1)CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,(,C,),C,O,C=O,<4>,O=C1NC=CCN1,<5>,<3>,(,<2>,C1CCOC1,<4>,C,),<3>,(,C,),C,O,<eos>,,,,,,,,
Cc1csc(NC(=O)CCc2nc(-c3cccs3)no2)n1,<bos>,C,<0>,c1cscn1,<3>,N,C=O,C,C,<2>,c1ncon1,<0>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCc1cccc2cccnc12)c1cccs1,<bos>,c1ccsc1,<4>,C=O,N,C,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,C,N,C=O,<1>,c1cn[nH]c1,<3>,<4>,c1ccn2cccc2c1,<3>,Br,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)NCC(=O)N2CCC(C(C)C)C2)cc1O,<bos>,C,C,(,C,),<0>,C1CCNC1,<3>,C=O,C,N,C=O,<0>,c1ccccc1,<3>,<4>,(,O,),O,C,<eos>,,,,,,,,,,,
CCn1cc(C(=O)NCc2ccc(NC(=O)C3CCCC3)cc2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,N,C,<0>,c1ccccc1,<3>,N,C=O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,
Nc1nn2cc(-c3cccc(Br)c3)nc2s1,<bos>,N,<4>,c1cn2ncsc2n1,<0>,<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1nc(=O)n(C#N)c(C)c1-c1ccc(F)cc1,<bos>,C,O,<3>,O=c1nccc[nH]1,<4>,<5>,(,C,),<6>,(,C#N,),<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,
Cc1ccc(S(=O)(=O)c2ncnc(-n3nnc4ccccc43)c2N)cc1,<bos>,N,<0>,c1cncnc1,<1>,<5>,(,<4>,c1ccc2[nH]nnc2c1,),O=[SH2]=O,<3>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,
CNC(=O)CCCNC(=O)c1cc(=O)[nH]c2ccccc12,<bos>,C,N,C=O,C,C,C,N,C=O,<3>,O=c1ccc2ccccc2[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCC(=O)NCC#CCOCc2cccnc2)c1,<bos>,C,<0>,c1ccccc1,<4>,O,C,C=O,N,C,<1>,C#C,<0>,C,O,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,
COc1ccc(OCC(O)CN(C)S(C)(=O)=O)cc1,<bos>,C,O=[SH2]=O,N,(,C,),C,C,(,O,),C,O,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,
Cc1c(C(=O)N2CCCC2c2cnn(C)c2)cnn1-c1cn[nH]c1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1cn[nH]c1,),C=O,<3>,C1CCNC1,<4>,<0>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,,
CN(CC(N)=O)C(=O)c1ccc(Br)cc1F,<bos>,F,<4>,c1ccccc1,<3>,<0>,(,Br,),C=O,N,(,C,),C,C=O,N,<eos>,,,,,,,,,,,,,,,,
O=C(Nc1nc2ccc(-n3ccnc3)cn2n1)c1ccco1,<bos>,c1ccoc1,<4>,C=O,N,<5>,c1ccn2ncnc2c1,<1>,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccc(C(=O)N2CCc3ccccc32)cn1,<bos>,N,C=O,<4>,c1ccncc1,<1>,C=O,<8>,c1ccc2c(c1)CCN2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)C(=O)NCCNC(=O)C1CCCCCC1,<bos>,C,C,C,(,C,),C=O,N,C,C,N,C=O,<0>,C1CCCCCC1,<eos>,,,,,,,,,,,,,,,,,,
Cc1ccc(C(C)NC(=O)NCc2cccs2)cc1F,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,F,),C,(,C,),N,C=O,N,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,
CCc1noc(CC)c1CC(=O)Nc1ccccc1Br,<bos>,C,C,<1>,c1cnoc1,<0>,<4>,(,C,C,),C,C=O,N,<0>,c1ccccc1,<5>,Br,<eos>,,,,,,,,,,,,,,,
O=C1CCc2ccccc2N1Cc1nc2cc(Cl)ccc2[nH]1,<bos>,Cl,<0>,c1ccc2[nH]cnc2c1,<5>,C,<10>,O=C1CCc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCCN1CCN(C(=O)c2cccc(Br)c2)CCC1=O,<bos>,C,C,C,<7>,O=C1CCNCCN1,<4>,C=O,<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OC(=O)c2csc(C(C)=O)c2)c1,<bos>,C,C=O,N,<0>,c1ccccc1,<4>,O,C=O,<0>,c1ccsc1,<2>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)NCc2ccc(OC(C)C)c(F)c2)on1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,<4>,(,F,),C,N,C=O,<4>,c1cnoc1,<1>,C,<eos>,,,,,,,,,,,,
Nc1nnc(SCC2CC2)n1C1CCCCC1,<bos>,N,<0>,c1nnc[nH]1,<3>,<4>,(,<0>,C1CCCCC1,),S,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCC#Cc1ccc(OC(F)(F)F)cc1)c1ccncc1F,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,<0>,C#C,<1>,C,N,C=O,<0>,c1ccncc1,<5>,F,<eos>,,,,,,,,,,
Cc1ccsc1CN(C)C(=O)c1ccc(-n2ccnn2)cc1,<bos>,C,<0>,c1ccsc1,<4>,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,<2>,c1c[nH]nn1,<eos>,,,,,,,,,,,,,,,,,
CC(Oc1ccc(OC(C)C(=O)NC2(O)CCCCC2)cc1)C(N)=O,<bos>,N,C=O,C,(,C,),O,<3>,c1ccccc1,<0>,O,C,(,C,),C=O,N,<0>,C1CCCCC1,<0>,O,<eos>,,,,,,,,,,,
CN(Cc1ccccc1)C(=O)c1cccc(-c2ccncc2)c1,<bos>,c1ccccc1,<0>,C,N,(,C,),C=O,<0>,c1ccccc1,<4>,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccco1)Nc1ccc(-n2cccn2)cc1,<bos>,c1ccoc1,<4>,C,C,C=O,N,<0>,c1ccccc1,<3>,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC1Cc2ccccc2N1CCNC(=O)c1ccncc1F,<bos>,C,<7>,c1ccc2c(c1)CCN2,<8>,C,C,N,C=O,<0>,c1ccncc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)C2CC3C=CC2C3)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,<3>,C1=CC2CCC1C2,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)C1(c2ccc(F)cc2)CC1)C(=O)n1ccnc1,<bos>,c1c[nH]cn1,<2>,C=O,C,(,C,),N,C=O,<0>,C1CC1,<0>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,
CCCCC(=O)Nc1ccc(OC)cc1N,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,N,),N,C=O,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(N)cc1NC(=O)NCCC(C)(C)C,<bos>,C,C,(,C,),(,C,),C,C,N,C=O,N,<4>,c1ccccc1,<3>,<0>,(,N,),O,C,<eos>,,,,,,,,,,
CNC(=O)N1CCCCC1c1nc(CC(C)C)no1,<bos>,C,C,(,C,),C,<0>,c1ncon1,<2>,<2>,C1CCNCC1,<3>,C=O,N,C,<eos>,,,,,,,,,,,,,,,,,
COC(=O)c1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,<bos>,C,O,C=O,<0>,c1ccccc1,<3>,O=[SH2]=O,<0>,c1ccccc1,<3>,O,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)C(NC(=O)c1cccnc1)C(=O)NCCc1ccc(F)cc1,<bos>,c1ccncc1,<1>,C=O,N,C,(,C,(,C,),C,),C=O,N,C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,
COc1cccc(CS(=O)(=O)N(C)Cc2cc(C)on2)c1,<bos>,C,<4>,c1cnoc1,<1>,C,N,(,C,),O=[SH2]=O,C,<4>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,
O=C(CCN1CCOCC1)Nc1ncc(-c2cccnc2)s1,<bos>,C1COCCN1,<5>,C,C,C=O,N,<3>,c1cscn1,<1>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C2=CCN(C(=O)c3cccc(C#N)c3)CC2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,<0>,C1=CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(CNc2nccn(-c3ccc(C)c(C)c3)c2=O)cc1,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),<6>,O=c1cncc[nH]1,<2>,N,C,<3>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,
COCCC1CN(C(=O)COc2ccc(OC)cc2)CCO1,<bos>,C,O,C,C,<1>,C1COCCN1,<5>,C=O,C,O,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,
O=C(NCCc1ccncc1)c1ccc(Br)cc1F,<bos>,F,<4>,c1ccccc1,<3>,<0>,(,Br,),C=O,N,C,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
c1cncc(-c2nc3sc4c(n3n2)CCNC4)c1,<bos>,c1ccncc1,<1>,<0>,c1nc2sc3c(n2n1)CCNC3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NCc1cn2c(C)cc(C)nc2n1,<bos>,C,<8>,c1cnc2nccn2c1,<5>,<1>,(,C,),C,N,<4>,c1ccccc1,<3>,<0>,(,F,),O,C,<eos>,,,,,,,,,,,,,
CCSc1nnc(NC(=O)NCc2ccco2)s1,<bos>,C,C,S,<0>,c1nncs1,<3>,N,C=O,N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,
CC1CCCCN1C(=O)Nc1ccc(C(=O)N(C)C)cc1F,<bos>,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,<4>,(,F,),N,C=O,<3>,C1CCNCC1,<2>,C,<eos>,,,,,,,,,,,,,
CC(=O)c1ccc2c(c1)CCCN2C(=O)c1ccc(C)cc1,<bos>,C,C=O,<0>,c1ccc2c(c1)CCCN2,<9>,C=O,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
