smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
CC(=O)N1CCc2cc(NCCOc3ccc(C)c(C)c3)ccc21,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),O,C,C,N,<0>,c1ccc2c(c1)CCN2,<8>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1noc(C(C)NC(=O)c2cc(-c3csc(C)n3)cn2C)n1,<bos>,C,<3>,c1cscn1,<0>,<0>,c1cc[nH]c1,<2>,<3>,(,C,),C=O,N,C,(,C,),<2>,c1ncon1,<0>,C,<eos>,,,,,,,,,,,,,,
C=CCN(CC)C(=O)Cc1csc(NC(=O)c2ccco2)n1,<bos>,C,C,N,(,C,<0>,C=C,),C=O,C,<0>,c1cscn1,<3>,N,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(c1ccn(-c2ccccc2)c(=O)c1)N1CCCCC1,<bos>,c1ccccc1,<0>,<6>,O=c1cccc[nH]1,<3>,C=O,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(c1ccncc1)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,<0>,c1ccncc1,),N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,
COC(=O)CNC(=O)NCc1cc(C(=O)OC)c(C)o1,<bos>,C,O,C=O,<1>,c1ccoc1,<4>,<2>,(,C,),C,N,C=O,N,C,C=O,O,C,<eos>,,,,,,,,,,,,,,,,,
CCc1cc(COC(=O)C(CC(C)C)C2CCCCO2)on1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),C=O,O,C,<4>,c1cnoc1,<1>,C,C,<eos>,,,,,,,,,,,,,,,,
COC(C)(C)c1noc(-c2cc(CC(C)C)nn2C)n1,<bos>,C,C,(,C,),C,<1>,c1cn[nH]c1,<4>,<3>,(,C,),<2>,c1ncon1,<0>,C,(,C,),(,C,),O,C,<eos>,,,,,,,,,,
CC1CCCCC1NC(=O)CCC(=O)c1ccc2c(c1)CCC2,<bos>,C,<0>,C1CCCCC1,<5>,N,C=O,C,C,C=O,<0>,c1ccc2c(c1)CCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)N(Cc1ccccc1Cl)C(C)C,<bos>,Cl,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,,
CCOC(=O)CC1CCN(C(=O)Nc2ccc(OC)cc2)CC1,<bos>,C,C,O,C=O,C,<0>,C1CCNCC1,<3>,C=O,N,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCn1cc(NC(=O)Cn2c(=O)n(C)c3ccccc32)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,N,C=O,C,<9>,O=c1[nH]c2ccccc2[nH]1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1cnn(C(=O)C2COc3ccc(F)cc3C2)c1N,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,(,C#N,),C=O,<7>,c1ccc2c(c1)CCCO2,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(NCCC(=O)N1CCCC1)c1nn(-c2ccccc2)c2c1CCC2,<bos>,C1CCNC1,<3>,C=O,C,C,N,C=O,<0>,c1n[nH]c2c1CCC2,<2>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)Nc1ccnn1-c1cccc(N)c1,<bos>,C,C,C,C,C,C=O,N,<4>,c1cn[nH]c1,<3>,<0>,c1ccccc1,<4>,N,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1noc(C2CCN(C(=O)CCc3nc4ccccc4[nH]3)CC2)n1,<bos>,C,<0>,c1ncon1,<2>,<0>,C1CCNCC1,<3>,C=O,C,C,<5>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC1CCCCN1C(=O)c1cccc(Nc2ncnc3sccc23)c1,<bos>,C,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,N,<2>,c1ncc2ccsc2n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(Cl)ccc1C(=O)Nc1ccc(N)cc1C,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,N,),N,C=O,<3>,c1ccccc1,<4>,<0>,(,Cl,),O,C,<eos>,,,,,,,,,,,,,,,,
C=CCc1nc2ccccc2n1CC(=O)OC1CCCC1,<bos>,C=C,<0>,C,<5>,c1ccc2[nH]cnc2c1,<4>,C,C=O,O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cnc2ccccc2n1)N1CCC2(CC1)OCCO2,<bos>,c1ccc2nccnc2c1,<5>,N,C=O,<5>,C1CC2(CCN1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)c1ccc(Cl)cc1Cl)N1CCOCC1,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C=O,N,C,(,<5>,C1COCCN1,),C,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccccc1C(=O)NC1(c2ccccc2)CCC1,<bos>,C,O,<0>,c1ccccc1,<5>,C=O,N,<0>,C1CCC1,<0>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCc1cc(C(=O)NC2CCC3(CC2)OCCO3)[nH]n1,<bos>,C,C,<1>,c1cn[nH]c1,<4>,C=O,N,<0>,C1CCC2(CC1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
