smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
CCCn1nc(C)c2c1cnn2CC(=O)Nc1ccccc1OC,<bos>,C,C,C,<2>,c1n[nH]c2cn[nH]c12,<6>,<0>,(,C,),C,C=O,N,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,
Cc1occc1C(=O)NC1CCN(C(=O)N2CCCCC2)CC1,<bos>,C,<4>,c1ccoc1,<0>,C=O,N,<0>,C1CCNCC1,<3>,C=O,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CN(C)C(=O)CCCCc1ccc(-n2cnnn2)cc1,<bos>,C,N,(,C,),C=O,C,C,C,C,<0>,c1ccccc1,<3>,<4>,c1nnn[nH]1,<eos>,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2cc(C)on2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<1>,c1cnoc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NCC(=O)Nc1cccnc1,<bos>,C,C,C,C,O=[SH2]=O,N,C,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)NCCNC(=O)Cc2ccc(F)cc2F)no1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,F,),C,C=O,N,C,C,N,C=O,<1>,c1cnoc1,<4>,C,<eos>,,,,,,,,,,,,,,,
CC(C)N(CC1CC1)C(=O)NCc1ccnc(OC2CCC2)c1,<bos>,C,C,(,C,),N,(,C,<0>,C1CC1,),C=O,N,C,<0>,c1ccncc1,<4>,O,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,
Cc1ccc(C(=O)NC(CC(C)C)C(N)=O)c(=O)[nH]1,<bos>,C,C,(,C,),C,C,(,C=O,N,),N,C=O,<2>,O=c1cccc[nH]1,<5>,C,<eos>,,,,,,,,,,,,,,,,,
NC(=O)N1CCCN(C(=O)C2CN(c3nc4ccccc4s3)CCO2)CC1,<bos>,N,C=O,<5>,C1CNCCNC1,<2>,C=O,<1>,C1COCCN1,<5>,<5>,c1ccc2scnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CN(C)c1ncccc1C(=O)Nc1nc(C2CC2)cs1,<bos>,C,N,(,C,),<2>,c1ccncc1,<1>,C=O,N,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
CCCOC(=O)C1CCCCN1C(=O)c1ccc(OCC#N)cc1,<bos>,C,C,C,O,C=O,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<3>,O,C,C#N,<eos>,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)CSc2ncccc2Cl)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,S,<2>,c1ccncc1,<1>,Cl,<eos>,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)N1CCC(c2nc(C(C)C)c(C)o2)CC1,<bos>,C,C,(,C,),<0>,c1cocn1,<3>,<1>,(,C,),<0>,C1CCNCC1,<3>,O=[SH2]=O,C,C,<eos>,,,,,,,,,,,,,,,,
CCn1cc(C(=O)N2CCC(c3nnc(-c4ccco4)o3)CC2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,<3>,C1CCNCC1,<0>,<0>,c1nnco1,<3>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,
Cn1c(C=Cc2nc(-c3cccnn3)no2)nc2ccccc21,<bos>,C,<4>,c1ccc2[nH]cnc2c1,<5>,<0>,C=C,<1>,<2>,c1ncon1,<0>,<5>,c1ccnnc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
C=CCNC(C#N)c1cc(Br)ccc1OC,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,(,C#N,),N,C,<0>,C=C,<eos>,,,,,,,,,,,,,,,,,
COC(=O)CSc1nc(-c2cc3ccccc3o2)n[nH]1,<bos>,C,O,C=O,C,S,<2>,c1nc[nH]n1,<0>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)Nc1nnc(C2CCC(=O)N2c2cccc(OC)c2)s1,<bos>,C,C,C=O,N,<0>,c1nncs1,<3>,<4>,O=C1CCCN1,<5>,<0>,c1ccccc1,<4>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ncoc1C(=O)N1CC=C(c2c[nH]c3ccccc23)CC1,<bos>,C,<0>,c1cocn1,<1>,C=O,<3>,C1=CCNCC1,<0>,<6>,c1ccc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CN1CCN(C(=O)C2CC2c2ccc(F)cc2)CC1)NC1CC1,<bos>,F,<3>,c1ccccc1,<0>,<2>,C1CC1,<0>,C=O,<2>,C1CNCCN1,<5>,C,C=O,N,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,
CC(Sc1nnc(C2CC2)n1C)C(=O)NCc1ccco1,<bos>,C,<4>,c1nnc[nH]1,<0>,<3>,(,<0>,C1CC1,),S,C,(,C,),C=O,N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,
Cc1cc(-n2c(C)cc(C(=O)NCCCN3CCCC3=O)c2C)no1,<bos>,C,<4>,c1cnoc1,<1>,<3>,c1cc[nH]c1,<0>,<2>,(,C,),<4>,(,C,),C=O,N,C,C,C,<5>,O=C1CCCN1,<eos>,,,,,,,,,,,,
