smiles,0
O=C(NCCc1nc2ccccc2[nH]1)c1ccc(C(F)(F)F)nc1,O=C(NCCc1nc2ccccc2[nH]1)c1ccc(C(F)(F)F)nc1
O=C(Cn1ccc(=O)c2ccccc21)Nc1cccnc1,O=c1ccn(CC(=O)Nc2cccnc2)c2ccccc12
O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1,O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1
Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1,Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1
O=C(NCCNc1ncccc1-n1cnnn1)C1CC1,O=C(NCCNc1ncccc1-n1cnnn1)C1CC1
CCC(CC)C(=O)N(C)Cc1cn(C)c2ccccc12,CCC(CC)C(=O)N(C)Cc1cn(C)c2ccccc12
Cc1c(C(=O)N2CCCN(C(=O)C3CC3)CC2)cnn1-c1ccncc1,Cc1c(C(=O)N2CCCN(C(=O)C3CC3)CC2)cnn1-c1ccncc1
Cc1cccc(OC(=O)CCOc2ccccc2C(N)=O)c1C,Cc1cccc(OC(=O)CCOc2ccccc2C(N)=O)c1C
CC(=O)c1[nH]c(C)c(S(=O)(=O)NC(C)c2cccs2)c1C,CC(=O)c1[nH]c(C)c(S(=O)(=O)NC(C)c2cccs2)c1C
O=C(NCCc1cn2ccccc2n1)c1cccn2ccnc12,O=C(NCCc1cn2ccccc2n1)c1cccn2ccnc12
CN(C)c1ccsc1C(=O)N1CCC(N2CCCC2=O)CC1,O=C1CCCN1C1CCN(C(=O)c2sccc2N(C)C)CC1
O=C(Nc1ccc(-n2cncn2)cc1)N1CCCC1Cn1cccn1,O=C(Nc1ccc(-n2cncn2)cc1)N1CCCC1Cn1cccn1
Cc1noc(C2CN(C(=O)c3cccc(C)c3F)C2)n1,Cc1cccc(C(=O)N2CC(c3nc(C)no3)C2)c1F
CCOCCOCC(=O)Nc1nnc(C(C)(C)C)s1,CCOCCOCC(=O)Nc1nnc(C(C)(C)C)s1
COCc1ccccc1C(=O)N(C)CC1CCc2ccccc2O1,COCc1ccccc1C(=O)N(C)CC1CCc2ccccc2O1
Cc1cc(N2CCN(C(=O)c3ccc(C#N)cc3)CC2)nc(C)n1,Cc1cc(N2CCN(C(=O)c3ccc(C#N)cc3)CC2)nc(C)n1
COc1cc(C(O)C(C)O)ccc1OC(C)C,COc1cc(C(O)C(C)O)ccc1OC(C)C
O=C(C1CCN(S(=O)(=O)Cc2ccccc2Cl)CC1)N1CCOCC1,O=C(C1CCN(S(=O)(=O)Cc2ccccc2Cl)CC1)N1CCOCC1
N#Cc1cc(-c2ccccc2Cl)oc1N,Nc1oc(-c2ccccc2Cl)cc1C#N
CC(CCc1ccccc1)NC(=O)c1ccccc1-n1cnnn1,CC(CCc1ccccc1)NC(=O)c1ccccc1-n1cnnn1
Cc1cc2nc(C(C)C)n(CC(F)(F)F)c2nc1N,Cc1cc2nc(C(C)C)n(CC(F)(F)F)c2nc1N
Cc1ccc(NC(=O)CC(C#N)c2ccccc2)cc1,Cc1ccc(NC(=O)CC(C#N)c2ccccc2)cc1
CS(=O)(=O)NCc1cnc2ccccn2c1=O,CS(=O)(=O)NCc1cnc2ccccn2c1=O
CC(C)(C)OC(=O)N1CCC2C(CCN2c2ncccn2)O1,CC(C)(C)OC(=O)N1CCC2C(CCN2c2ncccn2)O1
CC(Nc1cccc(Cl)c1C(F)(F)F)C(=O)N1CCC(=O)CC1,CC(Nc1cccc(Cl)c1C(F)(F)F)C(=O)N1CCC(=O)CC1
CCCNC(=O)c1ccc(NCC(=O)N2CCCC2)cc1,CCCNC(=O)c1ccc(NCC(=O)N2CCCC2)cc1
CC(=O)c1cc(-c2ccc(F)cc2F)[nH]c1N,CC(=O)c1cc(-c2ccc(F)cc2F)[nH]c1N
O=C(Nc1cccc(Cl)c1)c1cccc(-c2ncoc2C2CC2)c1,O=C(Nc1cccc(Cl)c1)c1cccc(-c2ncoc2C2CC2)c1
O=C(Cc1ccccc1)Nc1cccc(C(=O)N2CCCS2(=O)=O)c1,O=C(c1cccc(NC(=O)Cc2ccccc2)c1)N1CCCS1(=O)=O
CCC(O)(CCN)C(=O)Nc1cccc(C)c1C(N)=O,CCC(O)(CCN)C(=O)Nc1cccc(C)c1C(N)=O
Cc1cc(C)cc(CC2CCCN2C(=O)CCN2CCOCC2)c1,Cc1cc(C)cc(CC2CCCN2C(=O)CCN2CCOCC2)c1
O=C1NCCCC1Oc1cc(F)ccc1C(F)(F)F,Fc1ccc(C(F)(F)F)c(OC2CCCNC2=O)c1
CN(Cc1cccc(S(N)(=O)=O)c1)c1nnc(C2CC2)s1,CN(Cc1cccc(S(N)(=O)=O)c1)c1nnc(C2CC2)s1
OC(CCSc1ccc(F)cc1)c1ccccn1,Fc1ccc(SCCC(O)c2ccccn2)cc1
