smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
CCCn1ccnc1CNC(=O)c1ccnc2ccccc12,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,C,N,C=O,<7>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
CCOC(=O)CN(C)C(=O)c1ccc(F)c(F)c1F,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,F,),<5>,(,F,),C=O,N,(,C,),C,C=O,O,C,C,<eos>,,,,,,,,,
COC(=O)c1c(C)cc2c(CC(=O)Nc3nccs3)coc2c1C,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<1>,<0>,(,C,),<2>,(,C,),C=O,O,C,<eos>,,,,,,,,,,,,
CCCNC(=O)C1CC(=O)c2cc(OCC)ccc2C1,<bos>,C,C,O,<8>,O=C1CCCc2ccccc21,<3>,C=O,N,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(Cl)n(C(NC(=O)C(C)NC(=O)C2CC2)C(F)(F)F)n1,<bos>,F,C,(,F,),(,F,),C,(,<3>,c1cn[nH]c1,<1>,<4>,(,Cl,),C,),N,C=O,C,(,C,),N,C=O,<0>,C1CC1,<eos>,,
Cc1ccc(NC(=O)CNC(=O)Cc2ccc(F)cc2)cc1,<bos>,C,<0>,c1ccccc1,<3>,N,C=O,C,N,C=O,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,
CC(C)CNC(=O)CCS(=O)(=O)c1ccc(F)cc1,<bos>,C,C,(,C,),C,N,C=O,C,C,O=[SH2]=O,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,
CCS(=O)(=O)c1nc2ccccc2n1Cc1noc(C2CC2)n1,<bos>,C,C,O=[SH2]=O,<5>,c1ccc2[nH]cnc2c1,<4>,C,<0>,c1ncon1,<2>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCC(C)C)C(c2ccc(Cl)cc2)NC(=O)N1,<bos>,C,C,(,C,),C,O,C=O,<4>,O=C1NC=CCN1,<5>,<3>,(,C,),<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,
Cc1csc(NC(=O)CCc2nc(-c3cccs3)no2)n1,<bos>,C,<0>,c1cscn1,<3>,N,C=O,C,C,<2>,c1ncon1,<0>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,
CC(NC(=O)c1cccs1)C(=O)Nc1ccccc1F,<bos>,c1ccsc1,<4>,C=O,N,C,(,C,),C=O,N,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,
O=C(NCCS(=O)(=O)c1ccc(F)cc1)c1ccccc1F,<bos>,F,<5>,c1ccccc1,<0>,C=O,N,C,C,O=[SH2]=O,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc(N2CC(N)C(C(C)C)C2)cc1O,<bos>,C,C,(,C,),<0>,C1CCNC1,<3>,<1>,(,N,),<0>,c1ccccc1,<3>,<4>,(,O,),O,C,<eos>,,,,,,,,,,
CCn1cc(C(=O)NCc2ccc(NC(=O)C3CCCC3)cc2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,N,C,<0>,c1ccccc1,<3>,N,C=O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,
Nc1nn2cc(-c3cccc(Br)c3)nc2s1,<bos>,N,<4>,c1cn2ncsc2n1,<0>,<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1nc(=O)[nH]cc1C(=O)c1ccc2c(c1)CCC2,<bos>,C,O,<3>,O=c1nccc[nH]1,<4>,C=O,<0>,c1ccc2c(c1)CCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
NC1=NC(C(=O)c2ccco2)=NC2(CCCCC2)N1,<bos>,N,<0>,C1=NC=NC2(CCCCC2)N1,<2>,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)CCCNC(=O)N1CCC(O)CC1,<bos>,C,N,C=O,C,C,C,N,C=O,<3>,C1CCNCC1,<0>,O,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCCNC(=O)c2scnc2C2CC2)c1,<bos>,C,<0>,c1ccccc1,<4>,O,C,C,N,C=O,<1>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,
COc1cccc(-n2cnc(C)c2CN(C)S(C)(=O)=O)c1,<bos>,C,O=[SH2]=O,N,(,C,),C,<1>,c1c[nH]cn1,<2>,<0>,(,C,),<4>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,
Cc1c(C(=O)N2CCCC(c3ccn[nH]3)C2)cnn1-c1cn[nH]c1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1cn[nH]c1,),C=O,<3>,C1CCNCC1,<1>,<4>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,
O=C(COc1ccccc1)NCC(=O)Nc1ccc(Cl)cc1F,<bos>,F,<4>,c1ccccc1,<3>,<0>,(,Cl,),N,C=O,C,N,C=O,C,O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,
O=C1CN(C(=O)c2ccccc2NC(=O)c2ccco2)CCN1,<bos>,c1ccoc1,<4>,C=O,N,<5>,c1ccccc1,<0>,C=O,<3>,O=C1CNCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccc(C(=O)N2CCc3ccccc32)cn1,<bos>,N,C=O,<4>,c1ccncc1,<1>,C=O,<8>,c1ccc2c(c1)CCN2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)CN(C)S(C)(=O)=O)c1cccc(Cl)c1,<bos>,C,O=[SH2]=O,N,(,C,),C,C=O,N,C,(,C,),<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,
Cc1ccc(CC(=O)Nc2cccc(C(N)=O)c2)cc1C#N,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C#N,),C,C=O,N,<0>,c1ccccc1,<4>,C=O,N,<eos>,,,,,,,,,,,,,,,
