smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CCCn1ccnc1CS(=O)(=O)c1ccc(OC)cc1,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,C,O=[SH2]=O,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCCOc1cc2occ(CC(=O)Nc3nccs3)c2cc1C,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<1>,<0>,(,C,),O,C,C,C,<eos>,,,,,,,,,,,,,,,,,
CCOc1ccc2[nH]cc(C(=O)NCc3cccnc3)c(=O)c2c1,<bos>,C,C,O,<8>,O=c1cc[nH]c2ccccc12,<2>,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCCCN(C)C(=O)c1ccc(SCC)nc1,<bos>,C,C,C,C,N,(,C,),C=O,<1>,c1ccncc1,<4>,S,C,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1cc(C)c(C(=O)NCCc2ccsc2)c(C)c1,<bos>,C,<0>,c1ccccc1,<3>,<2>,(,C,),<4>,(,C,),C=O,N,C,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,
CC(C)CNC(=O)CCS(=O)(=O)c1ccc(F)cc1,<bos>,C,C,(,C,),C,N,C=O,C,C,O=[SH2]=O,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)N1CCOC(Cc2ccccc2F)C1,<bos>,C,C,O=[SH2]=O,<5>,C1COCCN1,<1>,C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1cc(C(=O)NCCn2nc3ccccn3c2=O)on1,<bos>,C,C,(,C,),C,<1>,c1cnoc1,<4>,C=O,N,C,C,<2>,O=c1[nH]nc2ccccn12,<eos>,,,,,,,,,,,,,,,,,,
Cc1nc(-c2ccccc2)sc1C(=O)N1CCC(O)CC1,<bos>,C,<0>,c1cscn1,<1>,<3>,(,<0>,c1ccccc1,),C=O,<3>,C1CCNCC1,<0>,O,<eos>,,,,,,,,,,,,,,,,,,,
c1cncc(CN(Cc2cccs2)c2cccc3cccnc23)c1,<bos>,c1ccsc1,<4>,C,N,(,<2>,c1ccc2ncccc2c1,),C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
