smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
CCCc1sc(C(=O)Nc2ccc3[nH]nc(C(N)=O)c3c2)cc1C,<bos>,C,C,C,<2>,c1ccsc1,<4>,<1>,(,C,),C=O,N,<0>,c1ccc2[nH]ncc2c1,<6>,C=O,N,<eos>,,,,,,,,,,,,,,,
Cc1c(C(=O)N2CCCC(C)C2)cnn1-c1ccncc1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1ccncc1,),C=O,<3>,C1CCNCC1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,
CCNc1nc(CC(=O)N(CC)Cc2ccccc2)cs1,<bos>,C,C,N,(,C,<0>,c1ccccc1,),C=O,C,<0>,c1cscn1,<3>,N,C,C,<eos>,,,,,,,,,,,,,,,,
O=C1C(Nc2ccc3cnsc3c2)CCCN1c1ccccc1,<bos>,c1ccccc1,<0>,<6>,O=C1CCCCN1,<2>,N,<1>,c1ccc2sncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
C#CCNC(=O)CC(C#N)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,C#N,),C,C=O,N,C,<0>,C#C,<eos>,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)NCCN2CCOC2=O)c1C,<bos>,C,O,C=O,<1>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,C,),C=O,N,C,C,<2>,O=C1NCCO1,<eos>,,,,,,,,,,,,
CC(C)CC(NC(=O)NC1C=CC(CO)C1)C1CCCCO1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),N,C=O,N,<4>,C1=CCCC1,<2>,C,O,<eos>,,,,,,,,,,,,,
CC(C)CC(NC(=O)C1CCCO1)c1cccs1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,<2>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,
CC1CCCC(NC(=O)c2nc(C3CC3)cs2)C1C,<bos>,C,<0>,C1CCCCC1,<4>,<5>,(,C,),N,C=O,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)N(Cc1ccccc1Cl)C(C)C,<bos>,Cl,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,
CCn1nc(C(=O)NC2(c3cccc(C)c3)CC2)cc1C,<bos>,C,C,<3>,c1cn[nH]c1,<1>,<4>,(,C,),C=O,N,<0>,C1CC1,<0>,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,
Nc1ccnn1-c1ccc(S(=O)(=O)N2CCCCC2)cc1,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,c1ccccc1,<3>,O=[SH2]=O,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,
O=C(CSc1ncnc2sc3c(c12)CCCC3)N1CCCC1,<bos>,C1CCNC1,<3>,C=O,C,S,<2>,c1ncc2c3c(sc2n1)CCCC3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cnn(Cc2cccs2)c1NC(=O)C(C)C,<bos>,C,C,(,C,),C=O,N,<4>,c1cn[nH]c1,<3>,<0>,(,C,),C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,
