smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O=C(c1ccc(F)cc1)C1C2CC3CCC1N3CC2=CCOc1ccccc1,<bos>,c1ccccc1,<0>,O,C,<0>,C=C1CN2C3CCC2CC1C3,<8>,C=O,<3>,c1ccccc1,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nc1ncnc2c1c(-c1cccc(CN3CCCC3=O)c1)cn2C1CC(c2ccccc2)C1,<bos>,O=C1CCCN1,<5>,C,<4>,c1ccccc1,<0>,<4>,c1ncc2cc[nH]c2n1,<6>,<2>,(,N,),<0>,C1CCC1,<2>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OCc1nccs1)C(=O)N(CCc1ccccc1)Cc1cc(Cl)c2c(c1)CCCCO2,<bos>,c1cscn1,<3>,C,O,C=O,N,C|R,(,C,),(,C,<6>,c1ccc2[nH]ccc2c1,),C=O,N,(,C,C,<0>,c1ccccc1,),C,<0>,c1ccc2c(c1)CCCCO2,<2>,Cl,<eos>,,,,,,,,,,,
CNC(=O)c1cc(CCN2CCCC2)sc1NC(=O)Nc1cccc2cccnc12,<bos>,c1ccc2ncccc2c1,<2>,N,C=O,N,<2>,c1ccsc1,<4>,<1>,(,C=O,N,C,),C,C,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1nc(-c2ccc(OC3CNC3)cc2)oc1-c1ccc(S(C)(=O)=O)cc1,<bos>,C,<0>,c1cocn1,<1>,<3>,(,<0>,c1ccccc1,<3>,O,<0>,C1CNC1,),<0>,c1ccccc1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1cc(OC)cc(N2CCN(Cc3cc(F)ccc3OC)C(=O)C2=O)c1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),C,<2>,O=C1NCCNC1=O,<5>,<4>,c1ccccc1,<2>,<0>,(,O,C,),O,C,<eos>,,,,,,,,,,,,,,,,
COc1ccc(N)cc1-c1ccnc2[nH]cc(-c3cncc(NS(C)(=O)=O)c3Cl)c12,<bos>,C,O=[SH2]=O,N,<5>,c1ccncc1,<1>,<0>,(,Cl,),<6>,c1cnc2[nH]ccc2c1,<8>,<4>,c1ccccc1,<3>,<0>,(,N,),O,C,<eos>,,,,,,,,,,,,,,,,,
Cc1cc(-c2nnc(-c3ccccc3S(=O)(=O)N3CCCCC3)o2)ccc1-c1ccccc1,<bos>,c1ccccc1,<0>,<3>,c1ccccc1,<4>,<0>,(,<0>,c1nnco1,<3>,<0>,c1ccccc1,<5>,O=[SH2]=O,<3>,C1CCNCC1,),C,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCN(CCCCCCCCCc1ccccc1)C1CCc2c(cccc2OC)C1,<bos>,C,C,C,N,(,<8>,c1ccc2c(c1)CCCC2,<5>,O,C,),C,C,C,C,C,C,C,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
CN(Cc1ccc(CN2CCN(CCO)CC2)cc1)c1ccc(CCC#N)cn1,<bos>,O,C,C,<5>,C1CNCCN1,<2>,C,<3>,c1ccccc1,<0>,C,N,(,C,),<4>,c1ccncc1,<1>,C,C,C#N,<eos>,,,,,,,,,,,,,,,,,,
