smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
CCCn1c(SCC(=O)NCc2ccccc2F)n[nH]c1=O,<bos>,C,C,C,<2>,O=c1[nH]cn[nH]1,<3>,S,C,C=O,N,C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ncc(C(=O)NC2CCN(c3ccccc3Cl)CC2)cn1,<bos>,C,<3>,c1cncnc1,<0>,C=O,N,<0>,C1CCNCC1,<3>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,
CN(C)C(=O)CCCC(C#N)c1nnnn1-c1ccc(F)cc1,<bos>,C,N,(,C,),C=O,C,C,C,C,(,C#N,),<0>,c1nnn[nH]1,<4>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,
CCOc1cc(OC)cc2[nH]c(C(=O)NCC3CCCCC3)cc12,<bos>,C,C,O,<8>,c1ccc2[nH]ccc2c1,<5>,<1>,(,O,C,),C=O,N,C,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NCC(=O)Nc1cccnc1,<bos>,C,C,C,C,O=[SH2]=O,N,C,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(Cc1ccc(F)cc1F)NCCNC(=O)CC1CCCC1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,F,),C,C=O,N,C,C,N,C=O,C,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)N(Cc1cccnc1)C(C)C,<bos>,C,C,(,C,),N,(,C,<1>,c1ccncc1,),C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,,,
COCc1ccc(C(=O)NC(C)(CC(C)C)C(N)=O)o1,<bos>,C,C,(,C,),C,C,(,C=O,N,),(,C,),N,C=O,<2>,c1ccoc1,<4>,C,O,C,<eos>,,,,,,,,,,,,
COc1c(C(N)=O)oc(NCc2cccs2)cc1=O,<bos>,N,C=O,<5>,O=c1ccocc1,<3>,<6>,(,O,C,),N,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,
CN(C)c1ncccc1C(=O)Nc1nc(C2CC2)cs1,<bos>,C,N,(,C,),<2>,c1ccncc1,<1>,C=O,N,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)Cn1c(-c2cccnc2)noc1=O,<bos>,C,C,C,(,C,),N,C=O,C,<2>,O=c1[nH]cno1,<3>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)CSc2nc(C)n[nH]2)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,S,<2>,c1nc[nH]n1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,
