smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
CCCc1sc(C(=O)NC2CCOCC2)cc1Br,<bos>,C,C,C,<2>,c1ccsc1,<4>,<1>,(,Br,),C=O,N,<0>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1c(C(=O)N2CCCC(C)C2)cnn1-c1ccccc1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1ccccc1,),C=O,<3>,C1CCNCC1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
c1ccc(-n2ncc3c(SCc4cccnc4)ncnc32)cc1,<bos>,c1ccccc1,<0>,<6>,c1ncc2cn[nH]c2n1,<2>,S,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
N#CC(CC(=O)NCc1ccccc1)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,C#N,),C,C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)NCCN2CCOC2=O)c1C,<bos>,C,O,C=O,<1>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,C,),C=O,N,C,C,<2>,O=C1NCCO1,<eos>,,,,,,,,,,,,,,,
COc1cccc(CCN(C)C(=O)c2cc(CC(C)C)nn2C)c1,<bos>,C,C,(,C,),C,<1>,c1cn[nH]c1,<4>,<3>,(,C,),C=O,N,(,C,),C,C,<4>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,
CC1CCCC(NC(=O)c2nc(-c3ccncc3)cs2)C1C,<bos>,C,<0>,C1CCCCC1,<4>,<5>,(,C,),N,C=O,<3>,c1cscn1,<0>,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,
CC(C)N(Cc1ccccc1F)C(=O)NCCNC(=O)C1CC1,<bos>,F,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
CCn1cc(NC(=O)CCc2nnc(-c3cccs3)o2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,N,C=O,C,C,<0>,c1nnco1,<3>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
N#Cc1cnn(C(=O)C2COc3ccc(F)cc3C2)c1N,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,(,C#N,),C=O,<7>,c1ccc2c(c1)CCCO2,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(NCCC(=O)N1CCCC1)C1CC1c1ccsc1,<bos>,C1CCNC1,<3>,C=O,C,C,N,C=O,<0>,C1CC1,<2>,<1>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)Nc1ccnn1C1CCCC1,<bos>,C,C,C,C,C,C=O,N,<4>,c1cn[nH]c1,<3>,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)Nc2ccc(N3CCOCC3)nc2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,O=[SH2]=O,N,<1>,c1ccncc1,<4>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC1CCCCN1C(=O)c1cccc(Nc2ncccc2C#N)c1,<bos>,C,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,N,<2>,c1ccncc1,<1>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(N)ccc1NC(=O)COC1CCCC(C)C1,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,N,),N,C=O,C,O,<4>,C1CCCCC1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,
C=CCN1CCN(C)C(=O)C12CCN(C(=O)Nc1ccsc1)C2,<bos>,C=C,<0>,C,<5>,O=C1NCCNC12CCNC2,<9>,<2>,(,C,),C=O,N,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc2ccccc12)N1CCC2(CC1)OCCO2,<bos>,c1ccc2ccccc2c1,<2>,N,C=O,<5>,C1CC2(CCN1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)C1CCN(C(=O)C2Cc3cc(Cl)ccc3O2)CC1,<bos>,Cl,<0>,c1ccc2c(c1)CCO2,<7>,C=O,<3>,C1CCNCC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1C(=O)Nc1snc2c1CCC2,<bos>,C,O,<0>,c1ccccc1,<5>,C=O,N,<0>,c1snc2c1CCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1cc(C#N)cc1C(=O)N1CCC(Cc2ccc(O)cc2)CC1,<bos>,C,<3>,c1cc[nH]c1,<2>,<0>,(,C#N,),C=O,<3>,C1CCNCC1,<0>,C,<0>,c1ccccc1,<3>,O,<eos>,,,,,,,,,,,,,,,,,,
Cc1ccncc1NC(=O)c1cnc2[nH]nc(C)c2c1,<bos>,C,<0>,c1ccncc1,<5>,N,C=O,<0>,c1cnc2[nH]ncc2c1,<6>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)Cc1cnc2c(c1)c(=O)[nH]c(=O)n2-c1ccccc1,<bos>,N,C=O,C,<7>,O=c1[nH]c(=O)c2cccnc2[nH]1,<11>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#CC(Cc1ccc(O)cc1)C(=O)Nc1cccc2cccnc12,<bos>,O,<3>,c1ccccc1,<0>,C,C,(,C#N,),C=O,N,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)Nc2cnn(CC(C)C)c2C)cc1F,<bos>,C,C,(,C,),C,<3>,c1cn[nH]c1,<0>,<4>,(,C,),N,C=O,<0>,c1ccccc1,<3>,<4>,(,F,),O,C,<eos>,,,,,,,,,,,
Cc1nc(C)c(C(=O)NCC2CCN(c3ccccc3)C2)s1,<bos>,C,<3>,c1cscn1,<1>,<0>,(,C,),C=O,N,C,<0>,C1CCNC1,<3>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCCn1ccnc1-c1cnccn1)c1ccsc1,<bos>,c1ccsc1,<0>,C=O,N,C,C,<2>,c1c[nH]cn1,<3>,<0>,c1cnccn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CNC(=O)c1ccc(C(=O)C2CC2)cc1)NC1CCCCCC1,<bos>,C1CC1,<0>,C=O,<0>,c1ccccc1,<3>,C=O,N,C,C=O,N,<0>,C1CCCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(C(=O)NC(C(=O)Nc2nnc(C3CC3)s2)C(C)C)c1,<bos>,C,<0>,c1ccccc1,<4>,C=O,N,C,(,C,(,C,),C,),C=O,N,<0>,c1nncs1,<3>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
CCn1nnc2cc(-c3nc(C)c(C(=O)NC4CC4)s3)ccc21,<bos>,C1CC1,<0>,N,C=O,<1>,c1cscn1,<3>,<0>,(,C,),<0>,c1ccc2[nH]nnc2c1,<4>,C,C,<eos>,,,,,,,,,,,,,,,,,,,
COCC1CCCN(S(=O)(=O)c2ccc(NC(=O)N(C)C)cc2)C1,<bos>,C,N,(,C,),C=O,N,<3>,c1ccccc1,<0>,O=[SH2]=O,<3>,C1CCNCC1,<1>,C,O,C,<eos>,,,,,,,,,,,,,,,,,,
CC1CCc2sc(C(=O)NCc3ccc(C(N)=O)cc3)cc2C1,<bos>,C,<7>,c1cc2c(s1)CCCC2,<0>,C=O,N,C,<3>,c1ccccc1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)c1cc(C(=O)Nc2ccccc2S(C)(=O)=O)nn1C,<bos>,C,C,C,(,C,),<4>,c1cn[nH]c1,<1>,<3>,(,C,),C=O,N,<0>,c1ccccc1,<5>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,,
COc1ccc(CNC(=O)CSc2nccn2C)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,C,N,C=O,C,S,<3>,c1c[nH]cn1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)CC(=O)NCCCCN1CCOCC1,<bos>,C,C,(,C,),(,C,),C,C=O,N,C,C,C,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,
CCN(CC(=O)NCc1cccs1)c1ccccc1C,<bos>,C,C,N,(,<0>,c1ccccc1,<5>,C,),C,C=O,N,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1nn(C)cc1C(=O)N1CCN(C(=O)c2cccs2)CC1,<bos>,C,O,<1>,c1cn[nH]c1,<0>,<3>,(,C,),C=O,<2>,C1CNCCN1,<5>,C=O,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,
CCNC(=O)c1ccccc1NC(=O)C1CCCc2ccccc21,<bos>,C,C,N,C=O,<0>,c1ccccc1,<5>,N,C=O,<9>,c1ccc2c(c1)CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NC1CCN(c2cccc(O)c2)C1=O)c1ccccc1,<bos>,c1ccccc1,<0>,C=O,N,<2>,O=C1CCCN1,<5>,<0>,c1ccccc1,<4>,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COCCNc1ncnc2oc(C)c(C(=O)Nc3ccccc3)c12,<bos>,C,O,C,C,N,<2>,c1ncc2ccoc2n1,<4>,<5>,(,C,),C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
CC(Nc1nnc(-c2ncccn2)o1)c1ccccc1F,<bos>,F,<5>,c1ccccc1,<0>,C,(,C,),N,<0>,c1nnco1,<3>,<3>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)Cn2nnc(-c3cccs3)n2)cc1OC,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,O,C,),N,C=O,C,<3>,c1nn[nH]n1,<0>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,
