smiles,0
CC(CCCN(C)C)Oc1cccc2c1C(=O)CO2,c12c(cccc2OC(C)CCCN(C)C)OCC1=O
COCCN1C(=O)N(C(=O)c2nc3ccccc3s2)C(=O)C1C,N1(C(=O)C(C)N(C1=O)CCOC)C(c1sc2ccccc2n1)=O
O=C(CCNCc1ccncc1)NCCc1c[nH]c2ccccc12,c12c([nH]cc1CCNC(CCNCc1ccncc1)=O)cccc2
CCCn1c(=O)c(N2C=C2)c(C)c2c(N)nc(C)nc21,n1(c2c(=O)n(CCC)c3nc(nc(N)c3c2C)C)cc1
CC1=NOC(C)=C2C=CC3C(=NNC2=O)c2ccc(C)cc2C2=CC=C(C=CC=C2)CN13,c12ccc(CN3C(C(c4c1cc(cc4)C)=NNC(c1c(onc3C)C)=O)cc1)cccc2
CN[C@@H](Cc1c(Cl)cc(F)cc1Cl)C(=O)N1CCC(CNC(=O)c2ccc(C(F)(F)F)cc2)(c2ccccc2)CC1,c1ccccc1C1(CNC(=O)c2ccc(cc2)C(F)(F)F)CCN(C([C@H](Cc2c(cc(F)cc2Cl)Cl)NC)=O)CC1
CCOC(=O)C(O)(CCN1CC[C@H](C(=O)O)C1)C(=O)C=Cc1ccccc1Cl,c1cccc(c1Cl)C=CC(=O)C(C(=O)OCC)(CCN1CC[C@@H](C1)C(=O)O)O
NS(=O)(=O)c1cc(O)cc(N=Nc2ccc3c(c2)OCO3)c1,O1COc2c1ccc(N=Nc1cc(S(N)(=O)=O)cc(O)c1)c2
COc1cc(-c2ccccc2)cc(OCc2ccc3nc(N)nc(N)c3c2)c1OC,O(C)c1c(OC)cc(cc1OCc1ccc2nc(nc(c2c1)N)N)-c1ccccc1
Cc1ccc([C@@H]2CCN(C)C3CC(CC=CCCC(=O)O)CCC32)cc1,C12CCC(CC1N(CC[C@H]2c1ccc(C)cc1)C)CC=CCCC(O)=O
CCCCCCCNC(=O)Oc1ccc(CNC[C@H](O)c2ccccc2)cc1,CCCCCCCNC(=O)Oc1ccc(CNC[C@H](O)c2ccccc2)cc1
O=C(Nc1ccc(Oc2ccccn2)cn1)N(CCN1CCCC1)Cc1ccc(Cl)c(Cl)c1,C1CCN(C1)CCN(C(Nc1ccc(Oc2ccccn2)cn1)=O)Cc1cc(c(Cl)cc1)Cl
CCc1cc(-c2cncc(C3CC3)c2)cc(=O)n1-c1ccc(Cl)cc1,C1(CC1)c1cc(-c2cc(n(c(c2)CC)-c2ccc(cc2)Cl)=O)cnc1
COCCOc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,COCCOc1nc2c(c(N)n1)ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CNc1cc(-n2cc(C)nc2C)nc(-c2ccccc2OC)n1,c1(nc(cc(NC)n1)-n1c(nc(c1)C)C)-c1c(OC)cccc1
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)cc(Cl)c2c1=O,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)cc(Cl)c2c1=O
CCNC(=O)N1CCC(n2c(N)c(C(=O)NC)c3c(NC4CCCO4)cccc32)CC1,CNC(=O)c1c(N)n(C2CCN(C(=O)NCC)CC2)c2cccc(NC3CCCO3)c12
CNC(=O)c1ccc(-c2ccc(-c3ccc(OC)cc3)[nH]2)s1,c1(-c2[nH]c(cc2)-c2ccc(OC)cc2)sc(C(=O)NC)cc1
O=C(CNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc2c(c1)OCO2)NCc1ccc(Cl)cc1,c1cc2OCOc2cc1S(=O)(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCC(NCc1ccc(Cl)cc1)=O)=O
Cc1cccc(NC[C@@H]2CC[C@@H]3CCN(C(=O)C4CCCCC4)[C@@H]3C2)n1,C1[C@H]2[C@@H](C[C@H](CNc3cccc(C)n3)C1)N(CC2)C(C1CCCCC1)=O
CCOC(=O)C(C)(C)c1ccc(C(=C(c2ccc(O)cc2)c2ccc3c(c2)OCO3)S(=O)(=O)C2CC2)cc1,CCOC(=O)C(C)(C)c1ccc(C(=C(c2cc3OCOc3cc2)c2ccc(O)cc2)S(=O)(=O)C2CC2)cc1
CC1=C(C(=O)C(C)C)C(c2ccccc2Cl)C(C)=C(C=O)N1,CC1=C(C=O)NC(C)=C(C(=O)C(C)C)C1c1ccccc1Cl
COc1cc2c(cc1OC)[C@@H](C)CN(C)CC2,O(C)c1cc2c(CCN(C[C@@H]2C)C)cc1OC
Cc1cc(CCC(=O)O)cc(C)c1CCc1cn(C)c2ccccc12,Cc1cc(CCC(=O)O)cc(C)c1CCc1cn(C)c2ccccc12
C[C@@H](CO)n1c2ccc(-c3nnc[nH]3)cc2c2cnc(Nc3ccc(N4CCN(C)CC4)cn3)nc21,c1(nnc[nH]1)-c1ccc2c(c1)c1cnc(Nc3ncc(cc3)N3CCN(C)CC3)nc1n2[C@H](CO)C
CN(C)C(=O)c1cccc(Nc2nnc(-c3ccc(F)cc3F)o2)n1,CN(C)C(=O)c1cccc(Nc2nnc(-c3ccc(F)cc3F)o2)n1
Cc1cccnc1[C@@H]1CN(c2c(C)sc3[nH]nc(-c4cc(Cl)cnc4F)c23)C(=O)O1,c1(C)c(nccc1)[C@H]1OC(=O)N(C1)c1c2c(-c3cc(Cl)cnc3F)n[nH]c2sc1C
CC(NC(=O)c1cccc(Oc2ccc(Cl)cc2Cl)c1)C(=O)NCC12CC3CC(CC(C3)C1)C2,O=C(C(NC(=O)c1cc(ccc1)Oc1ccc(Cl)cc1Cl)C)NCC12CC3CC(C1)CC(C3)C2
Cn1ncc(-n2cnc(-c3cnccc3F)n2)c1-c1cc(C(=O)N2CCCC2)c[nH]1,O=C(c1c[nH]c(-c2c(-n3cnc(-c4c(F)ccnc4)n3)cnn2C)c1)N1CCCC1
Cc1ccc(NC(=O)c2cncc(NC(=O)c3sc4ccccc4c3Cl)c2)nc1,c1c2c(c(C(Nc3cc(cnc3)C(Nc3ccc(cn3)C)=O)=O)sc2ccc1)Cl
Cc1ncc(S(=O)(=O)Nc2ccc(F)cc2F)cc1-c1cnc(N)nc1-c1ccc([N+](=O)[O-])cc1,Cc1c(-c2cnc(N)nc2-c2ccc([N+](=O)[O-])cc2)cc(S(=O)(=O)Nc2ccc(F)cc2F)cn1
Cc1ccc(N2C[C@@H](CNC(=O)Cc3ccccc3)[C@@H](C)c3ccccc32)cc1,N1(C[C@H]([C@H](c2c1cccc2)C)CNC(=O)Cc1ccccc1)c1ccc(cc1)C
Cn1ccc2ccc(-c3cnc(OCc4ccccc4)c(NC(=O)C(=O)NS(=O)(=O)c4ccccc4)c3)nc21,C(=O)(Nc1c(ncc(-c2ccc3ccn(c3n2)C)c1)OCc1ccccc1)C(NS(c1ccccc1)(=O)=O)=O
O=C(CO)CCC=CCC1=C(C(c2ccccc2)c2ccccc2)OC(=O)C1=Cc1ccc(O)cc1,c1(O)ccc(C=C2C(OC(C(c3ccccc3)c3ccccc3)=C2CC=CCCC(CO)=O)=O)cc1
Cc1cccc(C)c1C(=O)N(C)c1ccc(C#N)cc1,Cc1cccc(C)c1C(=O)N(C)c1ccc(C#N)cc1
Cc1cc(Nc2cncc(-c3ccc4cn[nH]c4c3)n2)sc1C(=O)O,Cc1cc(Nc2cncc(-c3ccc4cn[nH]c4c3)n2)sc1C(=O)O
COc1ccc2c(C(=O)NCCc3ccccc3)c(O)c(=O)oc2c1,C(Cc1ccccc1)NC(c1c(O)c(oc2cc(OC)ccc21)=O)=O
CCS(=O)(=O)Nc1ccc2c(C(=O)N[C@@H]3C(=O)CCCC3N3CCC[C@@H]3C(=O)O)c[nH]c2c1,[nH]1c2c(c(c1)C(=O)N[C@H]1C(N3[C@H](CCC3)C(=O)O)CCCC1=O)ccc(c2)NS(=O)(=O)CC
COc1ccc(-n2nc(C)cc2Oc2cccc(-n3ccc4ccccc43)c2)cc1,c1(cccc(-n2c3c(cc2)cccc3)c1)Oc1cc(C)nn1-c1ccc(OC)cc1
O=C(O)[C@@H](CS)Cc1ccc(Oc2cccc3ccccc23)cc1,c1(C[C@@H](C(O)=O)CS)ccc(cc1)Oc1cccc2ccccc21
NS(=O)(=O)Nc1cc(S(N)(=O)=O)sc1S(N)(=O)=O,S(=O)(Nc1cc(S(N)(=O)=O)sc1S(=O)(N)=O)(=O)N
Cc1ncc(NC(=O)c2ccc(-c3cccnc3)cc2)cc1N1CCCC2(CCC(O)CC2)C1,Cc1ncc(NC(=O)c2ccc(-c3cccnc3)cc2)cc1N1CCCC2(CCC(O)CC2)C1
Cc1ncccc1-c1nccnc1C1CN(c2ncc(C(=O)N(C)C)cn2)C1,c1c(cnc(N2CC(C2)c2c(nccn2)-c2cccnc2C)n1)C(N(C)C)=O
C[C@@H]1CN(c2ccc3c(NC(=O)c4ccc(-c5ccc(S(C)(=O)=O)cc5)cc4)cc(F)cc3c2)[C@@H](C)CN1C,c1cc2c(cc1N1[C@@H](C)CN([C@@H](C1)C)C)cc(F)cc2NC(=O)c1ccc(-c2ccc(cc2)S(=O)(C)=O)cc1
C[C@@H]1N[C@@H](CCCN2CCC(c3csc4cc[nH]c(=O)c34)CC2)Cc2ccc(O)cc21,N1[C@@H](C)c2cc(O)ccc2C[C@@H]1CCCN1CCC(CC1)c1c2c(=O)[nH]ccc2sc1
CNC(=O)CCc1cc(F)cc(Oc2ccc(C[C@@H](C)NC[C@H](O)c3cccnc3)cc2)c1,c1(Oc2ccc(cc2)C[C@H](NC[C@@H](c2cnccc2)O)C)cc(cc(F)c1)CCC(=O)NC
FC(F)(F)c1cccc(Cl)c1-c1ccccc1-c1nnnn1Cc1ccccc1Cl,c1cc(c(c(Cl)c1)-c1ccccc1-c1nnnn1Cc1c(cccc1)Cl)C(F)(F)F
CN1CC[C@@]2(C)CC([C@]3(C)CC[C@H]4CC[C@@H](O)[C@]4(C)C3)CC[C@@H]3CCC(=O)C1[C@@H]32,C1[C@@]2([C@@H](CC[C@@]1(C)C1CC[C@H]3[C@H]4[C@](C)(C1)CCN(C)C4C(CC3)=O)CC[C@H]2O)C
N#Cc1ccc2c(c1-c1nnc(NC(=O)Cc3ccccc3)s1)OCO2,O1COc2c1ccc(c2-c1nnc(NC(Cc2ccccc2)=O)s1)C#N
CCCCc1nc2cc(Oc3ccc(CC)cc3)ccc2c(=O)n1Cc1ccc(C(=O)O)cc1,O=C(O)c1ccc(Cn2c(CCCC)nc3cc(Oc4ccc(CC)cc4)ccc3c2=O)cc1
c1ccc(CN(c2cc[nH]n2)c2nnc(-c3cccnc3)o2)cc1,c1(oc(-c2cnccc2)nn1)N(c1cc[nH]n1)Cc1ccccc1
Cc1ccccc1Oc1ccc(S(=O)(=O)N[C@@H]2C(=O)N(CCC(=O)Nc3ccc(C=O)cc3)CC2C)cc1,C(c1ccc(NC(CCN2C(=O)[C@@H](NS(=O)(c3ccc(Oc4ccccc4C)cc3)=O)C(C)C2)=O)cc1)=O
O=C1NC(=O)C(c2cccc3ccccc23)=C1Nc1ccc(N2CCC(N3CCCC3)C2)cc1,O=C1NC(=O)C(c2cccc3ccccc23)=C1Nc1ccc(N2CCC(N3CCCC3)C2)cc1
COc1cc(N(C)C)cc(Cl)c1Oc1cnc(N)nc1N,CN(C)c1cc(Cl)c(Oc2cnc(N)nc2N)c(OC)c1
Cc1ccc(-c2nnc(CC3CCN(C(=O)c4ccc(Cl)cc4)CC3)n2C)s1,C1(Cc2n(C)c(nn2)-c2sc(C)cc2)CCN(CC1)C(=O)c1ccc(Cl)cc1
CC(=O)N[C@@H](C)c1ccc(O[C@@H]2CCN(c3nncc(OC4CC5CC6CC(CC4C6)O5)n3)C2)cc1,n1cc(nc(n1)N1C[C@@H](CC1)Oc1ccc([C@@H](NC(=O)C)C)cc1)OC1C2CC3OC(C1)CC(C3)C2
CCN(C)C1C(c2ccc(-c3cccc(C(=O)NS(C)(=O)=O)c3C3CCCC3)cc2)=Nc2ncccc2N1CCc1ccccn1,c1c(-c2c(c(C(NS(=O)(=O)C)=O)ccc2)C2CCCC2)ccc(c1)C1=Nc2ncccc2N(C1N(CC)C)CCc1ccccn1
CSc1nc(Nc2ccc(N3CCNCC3)cc2)nc2ccccc12,C1NCCN(c2ccc(cc2)Nc2nc3c(c(SC)n2)cccc3)C1
O=C(O)C(c1ccccc1)c1cccc(OC2CCN(C3CCCCC3)CC2)c1,c1ccc(C(c2cccc(OC3CCN(CC3)C3CCCCC3)c2)C(O)=O)cc1
Cn1c(-c2ccco2)nc2nc(-c3ccco3)c(C#Cc3ccccc3)nc21,n1(c2nc(C#Cc3ccccc3)c(nc2nc1-c1ccco1)-c1ccco1)C
CCC(CNC(C)=O)N1CCC(NC(=O)C2CC2c2ccccc2)CC1,CC(=O)NCC(N1CCC(NC(C2CC2c2ccccc2)=O)CC1)CC
Cc1cc(-c2ncc(C(=O)C(=O)O)c(C#N)c2C#N)ccc1C#N,C(c1ccc(cc1C)-c1c(C#N)c(c(C(=O)C(O)=O)cn1)C#N)#N
COc1cc2c(cn1)C(=O)N(c1nc3c(C(=O)OCc4c(F)cccc4F)ccnc3[nH]1)CCC2,C1CN(C(c2c(C1)cc(OC)nc2)=O)c1[nH]c2nccc(c2n1)C(=O)OCc1c(F)cccc1F
CC(C)c1cc(CC(=O)NC2CCCC2)ccc1NC(=O)C(=O)c1cc(Cl)c(Cl)cc1N,c1(C(C)C)cc(CC(NC2CCCC2)=O)ccc1NC(=O)C(=O)c1c(N)cc(c(Cl)c1)Cl
C=CC(=O)Nc1ccc(OC)c([C@H]2CN(c3ccc(C(N)=O)cc3)CCO2)c1,c1(NC(C=C)=O)ccc(OC)c(c1)[C@@H]1OCCN(C1)c1ccc(cc1)C(N)=O
CCNC(=O)N1CC2(CCN(C(=O)NC(C)(c3ccccc3)c3ccccc3)CC2)c2ccccc21,CCNC(=O)N1CC2(CCN(C(=O)NC(C)(c3ccccc3)c3ccccc3)CC2)c2ccccc21
COCc1ncnc2[nH]cc(Sc3ccc(NC(=O)Nc4cccc(CN5CCCNCC5)c4)cc3)c12,c1(c2c(c[nH]c2ncn1)Sc1ccc(NC(Nc2cccc(c2)CN2CCNCCC2)=O)cc1)COC
COc1cc(C2COc3c2ccnc3Nc2ncc(C(=O)NC[C@@H]3CCCN3)s2)cc(OC)c1OC,C1C(c2c(c(Nc3ncc(C(NC[C@H]4NCCC4)=O)s3)ncc2)O1)c1cc(c(OC)c(c1)OC)OC
O=C(CC1CCN(C(=O)c2ccccc2)CC1)Nc1ccc(Cl)cc1,O=C(CC1CCN(C(c2ccccc2)=O)CC1)Nc1ccc(Cl)cc1
COc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1S(=O)(=O)N1CCC(Cc2cccc(Cl)c2)CC1,c1ccc(Cl)cc1CC1CCN(S(=O)(=O)c2c(OC)ccc(S(N3CCN(CC3)C)(=O)=O)c2)CC1
Nc1nc(N2CCOCC2)c2cc([N+](=O)[O-])[nH]c2c1-c1cnc2[nH]ccc2n1,Nc1c(-c2cnc3[nH]ccc3n2)c2[nH]c(cc2c(n1)N1CCOCC1)[N+]([O-])=O
C[C@@H](C[C@H](O)Cc1cccc(C(=N)N)c1)C(=O)O,C(O)(=O)[C@H](C[C@@H](Cc1cccc(C(N)=N)c1)O)C
O=C(Nc1ccc(Br)cc1Br)c1cc(=O)[nH]c2cc(Cl)c(Cl)cc12,C(=O)(C1=CC(Nc2c1cc(Cl)c(c2)Cl)=O)Nc1c(cc(cc1)Br)Br
CCN1CCC(Cn2ccc3c(Nc4cccc(O)c4)ncnc32)CC1,N1(CCC(Cn2ccc3c2ncnc3Nc2cc(O)ccc2)CC1)CC
NC(=O)c1nc(Cl)nc2c1nc(Nc1ccc(I)cc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)c1c2c(n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO)c(n2)Nc2ccc(I)cc2)nc(Cl)n1
CC(C)C1=NC=NC(c2nnn(C)c2Nc2cccc(C#CC(C)(C)O)c2)=C[C@@H]2CC[C@@H](CC[S+]3(O)CCN2CC3)N1,Cn1c(Nc2cc(C#CC(O)(C)C)ccc2)c(-c2ncnc(N[C@H]3CC[C@H](N4CC[S+](CC4)(O)CC3)c2)C(C)C)nn1
CN1C2Cc3c([nH]c4ccccc34)[C@@H]1C(C)(C)[C@H]2C=Cc1ccccc1,C1c2c3ccccc3[nH]c2[C@@H]2C(C)(C)[C@H](C1N2C)C=Cc1ccccc1
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCN2CCN(c3cccc(Cl)c3)CC2)CC1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCN2CCN(c3cccc(Cl)c3)CC2)CC1
CCCC(=O)N1CC2(C#N)CCN([CH]C(=O)NO)C2=C(C2CCC(C)C2)c2ccccc21,[C@@H](N1C(C2(C#N)CC1)=C(C1CC(CC1)C)c1c(cccc1)N(C(CCC)=O)C2)C(=O)NO
CC(C)c1ccc(CN2CCN(C)CC2)c(C(=O)Nc2cc(Oc3ncccc3C(F)(F)F)ccn2)c1,C(F)(c1cccnc1Oc1ccnc(NC(=O)c2cc(ccc2CN2CCN(C)CC2)C(C)C)c1)(F)F
CCCCOc1ccccc1Sc1cccc(CN)c1-c1cccc(C=CC(=O)N2CCN(C)CC2)c1,CCCCOc1ccccc1Sc1cccc(CN)c1-c1cccc(C=CC(N2CCN(CC2)C)=O)c1
Cc1cccc(C2(Nc3nnc(C)s3)CCCCC2)c1,c1(nnc(NC2(c3cccc(c3)C)CCCCC2)s1)C
O=C(CN1C2CCC1[C@@H](c1cccc3[nH]c(=O)[nH]c13)C2)c1ccc(Cl)cc1,c1ccc2[nH]c(=O)[nH]c2c1[C@@H]1C2CCC(C1)N2CC(c1ccc(cc1)Cl)=O
Cc1c(OCC(=O)NS(C)(=O)=O)cccc1-c1ccc([C@@H]2c3cc(OCc4cccc5ccccc45)ccc3CC[C@@H]2C)cc1,c1ccc(OCC(=O)NS(=O)(C)=O)c(C)c1-c1ccc(cc1)[C@H]1[C@H](CCc2c1cc(OCc1cccc3ccccc13)cc2)C
COc1cc(CCC(=O)O)ccc1Oc1ccc(Cl)cc1Cl,Clc1cc(ccc1Oc1c(cc(CCC(=O)O)cc1)OC)Cl
NC(N)=NCc1cnc2c(OC3CCC3O)cccc2c1C(F)(F)F,C1(C(CC1)O)Oc1cccc2c(C(F)(F)F)c(CN=C(N)N)cnc21
