smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
O=C(CCCn1cnnn1)Nc1ccnn1Cc1cccs1,<bos>,c1ccsc1,<4>,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,C,<4>,c1nnn[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,
Clc1cccc(-c2nnc(N3CCc4[nH]ncc4C3)o2)c1,<bos>,Cl,<4>,c1ccccc1,<0>,<0>,c1nnco1,<3>,<6>,c1n[nH]c2c1CNCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1ccccc1Oc1ccc(C(F)(F)F)cc1N,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,N,),O,<5>,c1ccccc1,<0>,C#N,<eos>,,,,,,,,,,,,,,
O=C(Cc1cccs1)Nc1ccc(OCCO)nc1,<bos>,O,C,C,O,<4>,c1ccncc1,<1>,N,C=O,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCC(=O)n1cccc1C(=O)OCc1cccnc1,<bos>,C,C,(,C,),C,C,C=O,<3>,c1cc[nH]c1,<4>,C=O,O,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
Nc1cc(Cl)c2onc(CC(=O)NCCc3ccccc3)c2c1,<bos>,N,<0>,c1ccc2oncc2c1,<6>,<2>,(,Cl,),C,C=O,N,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cc(=O)oc(C)c1C(=O)N(C)Cc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,(,C,),C=O,<4>,O=c1cccco1,<3>,<5>,(,C,),C,<eos>,,,,,,,,,,,,
CC(C)CNC(=O)c1ccc(NS(N)(=O)=O)cc1Cl,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,<4>,(,Cl,),N,O=[SH2]=O,N,<eos>,,,,,,,,,,,,,,,,
O=C1NCC(c2cccc(Cl)c2)Cc2[nH]c(C(=O)N3CCOCC3)nc21,<bos>,Cl,<4>,c1ccccc1,<0>,<4>,O=C1NCCCc2[nH]cnc21,<8>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C(C)C)c(C)c1S(=O)(=O)Oc1ccccc1F,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,O,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,
CNS(=O)(=O)c1ccc2c(c1)Cc1cc(C(N)=O)ccc1-2,<bos>,C,N,O=[SH2]=O,<0>,c1ccc2c(c1)Cc1ccccc1-2,<9>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nn(C)c(CC)c1CN(C)C(=O)c1ccc(Cl)cc1,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,C,),<3>,(,C,),C,N,(,C,),C=O,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,
COC(=O)c1c(NC(=O)C2CC2c2ccccc2)sc2c1CCC2,<bos>,C,O,C=O,<1>,c1cc2c(s1)CCC2,<0>,N,C=O,<0>,C1CC1,<2>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccncc1)c1cc(-c2ccccc2)on1,<bos>,c1ccccc1,<0>,<4>,c1cnoc1,<1>,C=O,N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)CSc1nnnn1C1CC1,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),N,C=O,C,S,<0>,c1nnn[nH]1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,
CCOC(=O)N1CCN(CC(=O)Nc2ccc(F)cc2)CC1,<bos>,C,C,O,C=O,<2>,C1CNCCN1,<5>,C,C=O,N,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(F)c(C(=O)N2CCN(C(=O)c3cccs3)CC2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,F,),C=O,<2>,C1CNCCN1,<5>,C=O,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccccc1NC(=O)c1cnc(C2CCCO2)s1,<bos>,C1CCOC1,<4>,<3>,c1cscn1,<1>,C=O,N,<5>,c1ccccc1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(N3CCCC(Cn4cncn4)C3)ncnc2c1,<bos>,c1nc[nH]n1,<3>,C,<1>,C1CCNCC1,<3>,<7>,c1ccc2ncncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(F)cc1S(=O)(=O)N1CCC(C(=O)N(C)C)CC1,<bos>,C,<3>,c1ccccc1,<4>,<0>,(,F,),O=[SH2]=O,<3>,C1CCNCC1,<0>,C=O,N,(,C,),C,<eos>,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)C1CC2CN(C(=O)c3cscn3)CCN2C1,<bos>,C,C,C,C,O=[SH2]=O,<0>,C1CC2CNCCN2C1,<4>,C=O,<0>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COCC(NC(=O)CCc1c(C)[nH]c(=O)[nH]c1=O)C(N)=O,<bos>,C,O,C,C,(,C=O,N,),N,C=O,C,C,<2>,O=c1cc[nH]c(=O)[nH]1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1cc2c(o1)CC(C)(C)CC2NC(=O)N1CCCC(C)CC1,<bos>,C,<6>,c1cc2c(o1)CCCC2,<8>,<6>,(,C,),<0>,(,C,),N,C=O,<4>,C1CCCNCC1,<0>,C,<eos>,,,,,,,,,,,,,,,,
CC1COCCN1C(=O)CCc1ccsc1,<bos>,C,<0>,C1COCCN1,<5>,C=O,C,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cn2nc(CO)cc2-c2ccccc2)cc1,<bos>,O,C,<1>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,),C,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(CSc1nncs1)N1CCCSc2ccccc21,<bos>,c1nncs1,<0>,S,C,C=O,<6>,c1ccc2c(c1)NCCCS2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1c(C(=O)NCc2cccc(C)c2)[nH]c(C)c1C(C)=O,<bos>,C,C,<1>,c1cc[nH]c1,<2>,<0>,(,C=O,C,),<4>,(,C,),C=O,N,C,<0>,c1ccccc1,<4>,C,<eos>,,,,,,,,,,,,,
CC(=O)Nc1ccc2c(c1)CCC(=O)N2C(C)C,<bos>,C,C,(,C,),<10>,O=C1CCc2ccccc2N1,<6>,N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2cnn(C)c2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<0>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)(NC(=O)c1cn2c(C)cccc2n1)C(=O)OC,<bos>,C,C,C,(,C=O,O,C,),(,C,),N,C=O,<5>,c1ccn2ccnc2c1,<2>,C,<eos>,,,,,,,,,,,,,,,,,
CC(C)Cc1cc(C(=O)NCCN2CCOCC2)no1,<bos>,C,C,(,C,),C,<4>,c1cnoc1,<1>,C=O,N,C,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)CCC(=O)N2CCC(C(N)=O)C2)cc1N,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,N,),C=O,C,C,C=O,<3>,C1CCNC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,
CCCCN(CC)C(=O)C1CCN(c2nnnn2-c2ccccc2)CC1,<bos>,C,C,C,C,N,(,C,C,),C=O,<0>,C1CCNCC1,<3>,<0>,c1nnn[nH]1,<4>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
CC(C(=O)NCc1cc(Br)cs1)c1ccsc1,<bos>,C,C,(,<0>,c1ccsc1,),C=O,N,C,<2>,c1ccsc1,<0>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(C)c1OCC(=O)N(CCC#N)Cc1cccnc1,<bos>,C,<0>,c1ccccc1,<5>,<4>,(,C,),O,C,C=O,N,(,C,<1>,c1ccncc1,),C,C,C#N,<eos>,,,,,,,,,,,,,,
CCN(CC)c1ncccc1C(=O)NCCc1nncn1C(C)C,<bos>,C,C,(,C,),<4>,c1nnc[nH]1,<0>,C,C,N,C=O,<1>,c1ccncc1,<2>,N,(,C,C,),C,C,<eos>,,,,,,,,,,,,
O=C(NC(CC(=O)N1CCCCCC1)c1ccccc1)c1ccco1,<bos>,c1ccoc1,<2>,C=O,N,C,(,<0>,c1ccccc1,),C,C=O,<4>,C1CCCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cccc(NC(=O)NCCOc2nnc3ccccn23)c1,<bos>,C,C=O,<0>,c1ccccc1,<4>,N,C=O,N,C,C,O,<4>,c1ccn2cnnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1cccc(C(N)=O)c1NCc1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,C,N,<5>,c1ccccc1,<0>,<4>,(,C=O,N,),O,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCCCSc1ccc(F)cc1)c1ccc[nH]1,<bos>,F,<3>,c1ccccc1,<0>,S,C,C,C,N,C=O,<4>,c1cc[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(Br)cc(C)c1NCCCO,<bos>,C,<2>,c1ccccc1,<3>,<4>,(,C,),<0>,(,Br,),N,C,C,C,O,<eos>,,,,,,,,,,,,,,,,,
CN(C(=O)c1ccc(C(=O)N2CCOCC2)cn1)C1(C#N)CCC1,<bos>,C#N,<0>,C1CCC1,<0>,N,(,C,),C=O,<4>,c1ccncc1,<1>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,
CSc1ncccc1C(=O)OCc1cccnc1,<bos>,C,S,<2>,c1ccncc1,<1>,C=O,O,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OC2CC2)cc1Br,<bos>,C1CC1,<0>,O,<0>,c1ccccc1,<3>,<4>,(,Br,),O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)Nc1cccc(C(=O)NCc2cscn2)c1,<bos>,C,C,C=O,N,<0>,c1ccccc1,<4>,C=O,N,C,<0>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccccc1CN1CCOCC1)c1ccncc1F,<bos>,F,<5>,c1ccncc1,<0>,C=O,N,C,<0>,c1ccccc1,<5>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1cc[nH]n1,<bos>,C,C,N,(,C,<3>,O=c1[nH]cnc2ccccc12,),C=O,<1>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
