smiles,0
C=CC(=CC1(O)C=C1)c1cc(N(CC)CC(C=O)C(=O)NC2CCN(C)CC2)nn1C=NC,[C][=C][C][Branch2][Ring2][P][C][=C][Branch2][Ring2][#Branch2][C][=C][C][=Branch1][#Branch2][=N][N][Ring1][Branch1][C][=N][C][=Ring1][=Branch2][N][Branch1][Ring1][C][C][C][C][Branch1][P][C][Branch1][=N][N][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=O][C][=O][C][=C][Ring2][Ring1][S][O]
C[CH]c1cc2ccn(c(NC[CH]C(=S)N(CC)CCc3ccccc3)c(C)c1)N=C(C)SN=C2,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=S][C@H1][C][N][C][=C][Branch1][C][C][C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][Branch2][C][=C][N][Ring1][=Branch1][Ring1][#Branch2][C][=N][S][C][Branch1][C][C][=N][Ring1][#Branch1][C@H1][Ring1][P][C]
CC=C1C2=CC(=O)C(c3cc(CO)cc(Cl)c3O)=C2CC(O)N1c1ccc(OC)cc1,[C][C][=C][C][=C][C][Branch2][Ring2][N][C][Branch1][P][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][O][C][O][=C][Ring1][#C][C][C][Branch1][P][N][Ring2][Ring1][Ring1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][O][=O][C][=C][C][=C][Ring2][Ring1][P]
CCNC(=O)c1cc2cncc(C=Cc3ccccc3[NH])cc-2c1,[C][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][#Branch2][=C][C][Ring1][S][=C][Ring2][Ring1][Ring1]
CCCCC1CCN2CC3CC(c4ccccc4O3)C2C1=Cc1cc2nn1CCCCCCCC1CCCC(C1)C(=O)C2,[C][C][=Branch2][Branch1][#Branch2][=N][N][Branch2][Ring2][#Branch1][C][=Ring1][Branch1][C][=C][C][Branch2][Ring1][#Branch2][C][C][N][C][Ring1][=Branch1][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][=O]
NCCCOc1cncc2c1Cn1nccc1C=CN(CCNC(=Cc1cccc(Cl)c1)NC1CCCO1)C=C2,[C][N][N][=C][C][=C][Ring1][Branch1][C][=C][N][Branch2][Ring1][O][C][C][NH1][C][Branch1][=Branch2][N][C][C][C][C][O][Ring1][Branch1][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][O][C][C][C][N][Ring2][Ring2][Ring1][Ring1][S]
[NH]C=NCCCCn1c(Cc2cc(O)ccc2O)nc2c(=O)c3c([nH]c21)C(CF)=C3,[C][=Branch2][Branch1][C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][N][Branch2][Ring1][=Branch2][C][=Branch1][=Branch2][=N][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][O][C][C][C][C][N][=C][NH1][Ring1][Branch1][C][=C][C][Branch1][C][F][=C][Ring2][Ring1][#C]
C=CC=CC1=CC(=CC(Nc2ccc(F)cn2)C(=O)Nc2ccccc2)C=CC1OCC,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=N][N][C][=C][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][F][C][=C][C][=C][Branch1][O][C][Branch1][Ring2][O][C][C][C][=C][Ring1][=Branch2][C][=C][C][=C][Ring1][=N]
CCCC(C=C1CCCN(Cc2ccccc2)CC1)CN1CCC(c2ccc(Cl)cc2)C1=O,[O][=C][N][Branch1][P][C][C][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][C][Branch2][Ring1][#Branch1][C][=C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=C][=Ring1][=C][C][C][C]
N#CC=CC=CC(=O)CNc1cccc(F)c1Cl,[N][=C][Branch2][Ring1][S][C][=C][C][=Branch2][Ring1][O][=C][C][Branch2][Ring1][Ring1][C][Branch1][#C][N][C][=C][Branch1][C][Cl][C][Branch1][C][F][=C][C][=C][Ring1][Branch2][=O][C][=C][Ring1][P][N][C][=C][N][Branch1][#Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][N][N][=C][Ring1][N]
Cc1cc(F)cc(CN(CCN2CCCCC2C2C=CC=CC=CC2)c2ccccc2)c1,[C][=C][C][Branch2][Ring2][=C][C][Branch2][Ring2][Branch1][C][C][C][C][C][N][Ring1][=Branch1][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][Branch1][C][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][F][C][=C][C][=C][Ring2][Ring1][S]
O=C(NC1CCCC1=Nc1ccccc1)c1ccco1,[C][=Branch1][C][=O][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][N][C][C][=Branch1][#Branch2][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][N]
NC(=O)c1nnc([C@H]2CCCC[C@@H](C(=O)O)N2)s1,[C][C][C][C@H1][Branch1][#C][C][=N][N][=C][Branch1][=Branch1][C][Branch1][C][N][=O][S][Ring1][Branch2][N][C@@H1][Branch1][Ring2][C][Ring1][#C][C][Branch1][C][O][=O]
CCCN1CS2=C(N=C2N2CCOCC2)C(C=CC=Cc2ccc(C)o2)=N1,[C][C][C][N][C][S][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=N][C][=Ring1][#Branch2][C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][Branch1][C][C][O][Ring1][=Branch1][=N][Ring2][Ring1][Branch2]
C=Cc1ccc(C#CCc2c[nH]nc2C)cc1N=CNC1C=CC(OC)=CN2CCC1CC2,[C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][Branch1][Ring1][O][C][C][=C][C][Branch2][Ring1][=C][N][C][=N][C][=C][Branch2][Ring1][Ring2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#C][C][C][=C][NH1][N][=C][Ring1][Branch1][C][C][=C][Ring2][Ring1][#Branch1]
CC(=CC1N=CCCCC1(C)O)C(C)Oc1ccc(F)cc1,[C][Branch1][C][O][Branch1][C][C][C][C][C][C][=N][C][Branch2][Ring1][=Branch2][C][=C][Branch2][Ring1][C][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring1][=C][=C][Ring1][S]
